! time    log(Av)    log(n)    log(T)   
! (yr)   (mag)      (cm-3)    (K)      
0.000e+00 -1.231e+00 1.813e+00 1.698e+00
2.360e-01 -1.233e+00 1.758e+00 1.712e+00
4.710e-01 -1.260e+00 1.704e+00 1.736e+00
7.070e-01 -1.294e+00 1.655e+00 1.760e+00
9.430e-01 -1.312e+00 1.627e+00 1.777e+00
1.178e+00 -1.314e+00 1.622e+00 1.782e+00
1.414e+00 -1.305e+00 1.636e+00 1.778e+00
1.650e+00 -1.287e+00 1.662e+00 1.767e+00
1.885e+00 -1.263e+00 1.696e+00 1.751e+00
2.121e+00 -1.237e+00 1.734e+00 1.734e+00
2.357e+00 -1.212e+00 1.769e+00 1.718e+00
2.592e+00 -1.192e+00 1.799e+00 1.704e+00
2.828e+00 -1.177e+00 1.821e+00 1.693e+00
3.064e+00 -1.167e+00 1.836e+00 1.687e+00
3.299e+00 -1.163e+00 1.842e+00 1.683e+00
3.535e+00 -1.163e+00 1.843e+00 1.682e+00
3.771e+00 -1.166e+00 1.839e+00 1.683e+00
4.006e+00 -1.172e+00 1.831e+00 1.686e+00
4.242e+00 -1.180e+00 1.820e+00 1.690e+00
4.478e+00 -1.189e+00 1.807e+00 1.696e+00
4.713e+00 -1.199e+00 1.793e+00 1.701e+00
4.949e+00 -1.209e+00 1.777e+00 1.708e+00
5.185e+00 -1.221e+00 1.760e+00 1.715e+00
5.420e+00 -1.233e+00 1.742e+00 1.723e+00
5.656e+00 -1.246e+00 1.724e+00 1.731e+00
5.892e+00 -1.258e+00 1.705e+00 1.740e+00
6.127e+00 -1.272e+00 1.685e+00 1.749e+00
6.363e+00 -1.285e+00 1.665e+00 1.758e+00
6.599e+00 -1.300e+00 1.643e+00 1.769e+00
6.834e+00 -1.316e+00 1.620e+00 1.780e+00
7.070e+00 -1.333e+00 1.595e+00 1.792e+00
7.306e+00 -1.350e+00 1.570e+00 1.805e+00
7.541e+00 -1.367e+00 1.544e+00 1.818e+00
7.777e+00 -1.385e+00 1.519e+00 1.832e+00
8.013e+00 -1.401e+00 1.493e+00 1.846e+00
8.248e+00 -1.417e+00 1.469e+00 1.859e+00
8.484e+00 -1.432e+00 1.447e+00 1.872e+00
8.720e+00 -1.445e+00 1.426e+00 1.885e+00
8.955e+00 -1.457e+00 1.408e+00 1.896e+00
9.191e+00 -1.467e+00 1.392e+00 1.906e+00
9.427e+00 -1.477e+00 1.377e+00 1.915e+00
9.662e+00 -1.487e+00 1.363e+00 1.924e+00
9.898e+00 -1.498e+00 1.346e+00 1.934e+00
1.013e+01 -1.511e+00 1.327e+00 1.946e+00
1.037e+01 -1.526e+00 1.305e+00 1.959e+00
1.061e+01 -1.542e+00 1.282e+00 1.975e+00
1.084e+01 -1.557e+00 1.260e+00 1.990e+00
1.108e+01 -1.570e+00 1.241e+00 2.004e+00
1.131e+01 -1.581e+00 1.225e+00 2.016e+00
1.155e+01 -1.589e+00 1.212e+00 2.026e+00
1.178e+01 -1.597e+00 1.201e+00 2.035e+00
1.202e+01 -1.602e+00 1.192e+00 2.042e+00
1.226e+01 -1.607e+00 1.186e+00 2.047e+00
1.249e+01 -1.611e+00 1.180e+00 2.052e+00
1.273e+01 -1.614e+00 1.174e+00 2.056e+00
1.296e+01 -1.617e+00 1.169e+00 2.060e+00
1.320e+01 -1.620e+00 1.165e+00 2.064e+00
1.343e+01 -1.620e+00 1.164e+00 2.065e+00
1.367e+01 -1.619e+00 1.165e+00 2.065e+00
1.390e+01 -1.618e+00 1.167e+00 2.064e+00
1.414e+01 -1.616e+00 1.169e+00 2.062e+00
1.438e+01 -1.614e+00 1.171e+00 2.061e+00
1.461e+01 -1.613e+00 1.172e+00 2.060e+00
1.485e+01 -1.614e+00 1.170e+00 2.060e+00
1.508e+01 -1.617e+00 1.166e+00 2.063e+00
1.532e+01 -1.623e+00 1.158e+00 2.068e+00
1.555e+01 -1.630e+00 1.147e+00 2.076e+00
1.579e+01 -1.639e+00 1.134e+00 2.085e+00
1.602e+01 -1.649e+00 1.119e+00 2.097e+00
1.626e+01 -1.659e+00 1.103e+00 2.110e+00
1.650e+01 -1.670e+00 1.087e+00 2.123e+00
1.673e+01 -1.681e+00 1.070e+00 2.137e+00
1.697e+01 -1.691e+00 1.054e+00 2.151e+00
1.720e+01 -1.700e+00 1.040e+00 2.164e+00
1.744e+01 -1.708e+00 1.028e+00 2.175e+00
1.768e+01 -1.714e+00 1.018e+00 2.185e+00
1.791e+01 -1.721e+00 1.009e+00 2.193e+00
1.815e+01 -1.729e+00 9.960e-01 2.204e+00
1.838e+01 -1.741e+00 9.790e-01 2.217e+00
1.862e+01 -1.756e+00 9.570e-01 2.236e+00
1.885e+01 -1.774e+00 9.300e-01 2.260e+00
1.909e+01 -1.795e+00 8.980e-01 2.290e+00
1.932e+01 -1.820e+00 8.610e-01 2.325e+00
1.956e+01 -1.847e+00 8.200e-01 2.366e+00
1.980e+01 -1.876e+00 7.750e-01 2.413e+00
2.003e+01 -1.906e+00 7.300e-01 2.463e+00
2.027e+01 -1.932e+00 6.890e-01 2.515e+00
2.050e+01 -1.953e+00 6.570e-01 2.562e+00
2.074e+01 -1.964e+00 6.380e-01 2.598e+00
2.097e+01 -1.969e+00 6.290e-01 2.621e+00
2.121e+01 -1.969e+00 6.280e-01 2.632e+00
2.145e+01 -1.968e+00 6.280e-01 2.635e+00
2.168e+01 -1.967e+00 6.270e-01 2.636e+00
2.192e+01 -1.965e+00 6.290e-01 2.636e+00
2.215e+01 -1.959e+00 6.370e-01 2.633e+00
2.239e+01 -1.949e+00 6.500e-01 2.622e+00
2.262e+01 -1.939e+00 6.650e-01 2.603e+00
2.286e+01 -1.928e+00 6.820e-01 2.582e+00
2.309e+01 -1.915e+00 7.000e-01 2.559e+00
2.333e+01 -1.903e+00 7.170e-01 2.535e+00
2.357e+01 -1.891e+00 7.340e-01 2.512e+00
2.380e+01 -1.877e+00 7.520e-01 2.489e+00
2.404e+01 -1.861e+00 7.710e-01 2.465e+00
2.427e+01 -1.845e+00 7.930e-01 2.440e+00
2.451e+01 -1.830e+00 8.140e-01 2.414e+00
2.475e+01 -1.814e+00 8.340e-01 2.390e+00
2.498e+01 -1.798e+00 8.560e-01 2.366e+00
2.522e+01 -1.781e+00 8.800e-01 2.340e+00
2.545e+01 -1.761e+00 9.080e-01 2.312e+00
2.569e+01 -1.741e+00 9.360e-01 2.281e+00
2.592e+01 -1.723e+00 9.610e-01 2.253e+00
2.616e+01 -1.708e+00 9.840e-01 2.229e+00
2.639e+01 -1.695e+00 1.003e+00 2.210e+00
2.663e+01 -1.683e+00 1.021e+00 2.193e+00
2.687e+01 -1.670e+00 1.040e+00 2.176e+00
2.710e+01 -1.656e+00 1.060e+00 2.158e+00
2.734e+01 -1.640e+00 1.084e+00 2.139e+00
2.757e+01 -1.622e+00 1.110e+00 2.117e+00
2.781e+01 -1.602e+00 1.139e+00 2.094e+00
2.804e+01 -1.581e+00 1.169e+00 2.070e+00
2.828e+01 -1.561e+00 1.199e+00 2.047e+00
2.852e+01 -1.543e+00 1.226e+00 2.026e+00
2.875e+01 -1.527e+00 1.250e+00 2.008e+00
