# C3H7OH cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 9.190000e-17 1.770947e-17 7.419053e-17
9.220000e+01 8.880000e-17 1.927330e-17 6.952670e-17
9.320000e+01 8.540000e-17 1.940816e-17 6.599184e-17
9.420000e+01 8.240000e-17 1.994302e-17 6.245698e-17
9.520000e+01 7.936000e-17 2.043788e-17 5.892212e-17
9.620000e+01 7.634000e-17 2.095274e-17 5.538726e-17
9.720000e+01 7.410000e-17 2.224759e-17 5.185241e-17
9.820000e+01 7.210000e-17 2.378245e-17 4.831755e-17
9.920000e+01 7.030000e-17 2.551731e-17 4.478269e-17
1.002000e+02 6.940000e-17 2.815217e-17 4.124783e-17
1.012000e+02 6.868000e-17 3.096703e-17 3.771297e-17
1.022000e+02 6.760000e-17 3.342189e-17 3.417811e-17
1.032000e+02 6.820000e-17 3.755675e-17 3.064325e-17
1.042000e+02 6.748000e-17 4.037161e-17 2.710839e-17
1.052000e+02 6.984000e-17 4.626647e-17 2.357353e-17
1.062000e+02 7.760000e-17 5.756133e-17 2.003867e-17
1.072000e+02 7.560000e-17 5.890869e-17 1.669131e-17
1.082000e+02 7.360000e-17 5.937521e-17 1.422479e-17
1.092000e+02 7.160000e-17 5.925147e-17 1.234853e-17
1.102000e+02 6.962000e-17 5.869705e-17 1.092295e-17
1.112000e+02 6.784000e-17 5.758122e-17 1.025878e-17
1.122000e+02 6.654000e-17 5.687414e-17 9.665858e-18
1.132000e+02 6.520000e-17 5.627186e-17 8.928142e-18
1.142000e+02 6.362000e-17 5.544606e-17 8.173942e-18
1.152000e+02 6.174000e-17 5.460768e-17 7.132321e-18
1.162000e+02 5.994000e-17 5.396282e-17 5.977184e-18
1.172000e+02 5.812000e-17 5.326363e-17 4.856372e-18
1.182000e+02 5.622000e-17 5.276461e-17 3.455394e-18
1.192000e+02 5.417297e-17 5.231102e-17 1.861956e-18
1.202000e+02 5.153784e-17 5.017240e-17 1.365443e-18
1.212000e+02 5.158889e-17 5.122610e-17 3.627849e-19
1.222000e+02 5.110000e-17 5.092051e-17 1.794936e-19
1.232000e+02 4.931316e-17 4.923123e-17 8.192291e-20
1.242000e+02 4.753421e-17 4.749830e-17 3.590731e-20
1.252000e+02 4.670000e-17 4.669247e-17 7.532225e-21
1.262000e+02 4.861500e-17 4.861500e-17 0.000000e+00
1.272000e+02 4.844074e-17 4.844074e-17 0.000000e+00
1.282000e+02 4.642317e-17 4.642317e-17 0.000000e+00
1.292000e+02 4.315357e-17 4.315357e-17 0.000000e+00
1.302000e+02 3.867059e-17 3.867059e-17 0.000000e+00
1.312000e+02 3.209767e-17 3.209767e-17 0.000000e+00
1.322000e+02 2.858851e-17 2.858851e-17 0.000000e+00
1.332000e+02 2.716250e-17 2.716250e-17 0.000000e+00
1.342000e+02 2.726667e-17 2.726667e-17 0.000000e+00
1.352000e+02 2.743407e-17 2.743407e-17 0.000000e+00
1.362000e+02 2.627660e-17 2.627660e-17 0.000000e+00
1.372000e+02 2.485426e-17 2.485426e-17 0.000000e+00
1.382000e+02 2.369062e-17 2.369062e-17 0.000000e+00
1.392000e+02 2.283608e-17 2.283608e-17 0.000000e+00
1.402000e+02 2.221919e-17 2.221919e-17 0.000000e+00
1.412000e+02 2.101717e-17 2.101717e-17 0.000000e+00
1.422000e+02 1.961765e-17 1.961765e-17 0.000000e+00
1.432000e+02 1.710000e-17 1.710000e-17 0.000000e+00
1.442000e+02 1.496476e-17 1.496476e-17 0.000000e+00
1.452000e+02 1.371604e-17 1.371604e-17 0.000000e+00
1.462000e+02 1.224112e-17 1.224112e-17 0.000000e+00
1.472000e+02 1.193578e-17 1.193578e-17 0.000000e+00
1.482000e+02 1.147273e-17 1.147273e-17 0.000000e+00
1.492000e+02 1.092727e-17 1.092727e-17 0.000000e+00
1.502000e+02 1.106814e-17 1.106814e-17 0.000000e+00
1.512000e+02 1.174737e-17 1.174737e-17 0.000000e+00
1.522000e+02 1.235478e-17 1.235478e-17 0.000000e+00
1.532000e+02 1.295932e-17 1.295932e-17 0.000000e+00
1.542000e+02 1.360588e-17 1.360588e-17 0.000000e+00
1.552000e+02 1.411322e-17 1.411322e-17 0.000000e+00
1.562000e+02 1.419587e-17 1.419587e-17 0.000000e+00
1.572000e+02 1.443171e-17 1.443171e-17 0.000000e+00
1.582000e+02 1.403920e-17 1.403920e-17 0.000000e+00
1.592000e+02 1.295984e-17 1.295984e-17 0.000000e+00
1.602000e+02 1.141008e-17 1.141008e-17 0.000000e+00
1.612000e+02 9.960465e-18 9.960465e-18 0.000000e+00
1.622000e+02 8.315649e-18 8.315649e-18 0.000000e+00
1.632000e+02 6.662030e-18 6.662030e-18 0.000000e+00
1.642000e+02 5.134412e-18 5.134412e-18 0.000000e+00
1.652000e+02 3.928529e-18 3.928529e-18 0.000000e+00
1.662000e+02 2.811087e-18 2.811087e-18 0.000000e+00
1.672000e+02 2.074214e-18 2.074214e-18 0.000000e+00
1.682000e+02 1.689789e-18 1.689789e-18 0.000000e+00
1.692000e+02 1.457394e-18 1.457394e-18 0.000000e+00
1.702000e+02 1.370278e-18 1.370278e-18 0.000000e+00
1.712000e+02 1.390685e-18 1.390685e-18 0.000000e+00
1.722000e+02 1.460135e-18 1.460135e-18 0.000000e+00
1.732000e+02 1.548467e-18 1.548467e-18 0.000000e+00
1.742000e+02 1.646013e-18 1.646013e-18 0.000000e+00
1.752000e+02 1.770196e-18 1.770196e-18 0.000000e+00
1.762000e+02 1.883355e-18 1.883355e-18 0.000000e+00
1.772000e+02 1.991266e-18 1.991266e-18 0.000000e+00
1.782000e+02 2.092532e-18 2.092532e-18 0.000000e+00
1.792000e+02 2.180870e-18 2.180870e-18 0.000000e+00
1.802000e+02 2.260366e-18 2.260366e-18 0.000000e+00
1.812000e+02 2.278659e-18 2.278659e-18 0.000000e+00
1.822000e+02 2.290000e-18 2.290000e-18 0.000000e+00
1.832000e+02 2.290000e-18 2.290000e-18 0.000000e+00
1.842000e+02 2.244059e-18 2.244059e-18 0.000000e+00
1.852000e+02 2.178902e-18 2.178902e-18 0.000000e+00
1.862000e+02 2.069075e-18 2.069075e-18 0.000000e+00
1.872000e+02 1.947045e-18 1.947045e-18 0.000000e+00
1.882000e+02 1.793636e-18 1.793636e-18 0.000000e+00
1.892000e+02 1.621778e-18 1.621778e-18 0.000000e+00
1.902000e+02 1.432889e-18 1.432889e-18 0.000000e+00
1.912000e+02 1.265902e-18 1.265902e-18 0.000000e+00
1.922000e+02 1.107432e-18 1.107432e-18 0.000000e+00
1.932000e+02 9.526720e-19 9.526720e-19 0.000000e+00
1.942000e+02 7.989791e-19 7.989791e-19 0.000000e+00
1.952000e+02 6.649476e-19 6.649476e-19 0.000000e+00
1.962000e+02 5.320928e-19 5.320928e-19 0.000000e+00
1.972000e+02 4.078660e-19 4.078660e-19 0.000000e+00
1.982000e+02 2.930909e-19 2.930909e-19 0.000000e+00
1.992000e+02 2.213737e-19 2.213737e-19 0.000000e+00
2.002000e+02 1.560891e-19 1.560891e-19 0.000000e+00
2.012000e+02 1.165347e-19 1.165347e-19 0.000000e+00
2.022000e+02 8.076214e-20 8.076214e-20 0.000000e+00
2.032000e+02 6.221845e-20 6.221845e-20 0.000000e+00
2.042000e+02 4.459194e-20 4.459194e-20 0.000000e+00
2.052000e+02 3.369147e-20 3.369147e-20 0.000000e+00
2.062000e+02 2.284673e-20 2.284673e-20 0.000000e+00
2.072000e+02 1.751963e-20 1.751963e-20 0.000000e+00
2.082000e+02 1.219252e-20 1.219252e-20 0.000000e+00
2.092000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.102000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.112000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.122000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.132000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.142000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.152000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.162000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.172000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.182000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.192000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.202000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.212000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.222000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.232000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.242000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.252000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.262000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.272000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.282000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.292000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.302000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.312000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.322000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.332000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.342000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.352000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.362000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.372000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.382000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.392000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.402000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.412000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.422000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.432000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.442000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.452000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.462000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.472000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.482000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.492000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.502000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.512000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.522000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.532000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.542000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.552000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.562000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.572000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.582000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.592000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.602000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.612000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.622000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.632000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.642000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.652000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.662000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.672000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.682000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.692000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.702000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.712000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.722000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.732000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.742000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.752000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.762000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.772000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.782000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.792000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.802000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.812000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.822000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.832000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.842000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.852000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.862000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.872000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.882000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.892000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.902000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.912000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.922000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.932000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.942000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.952000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.962000e+02 0.000000e+00 0.000000e+00 0.000000e+00
