# CH3CHO cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 2.103735e-17 0.000000e+00 2.103735e-17
9.220000e+01 2.136808e-17 0.000000e+00 2.136808e-17
9.320000e+01 2.169881e-17 0.000000e+00 2.169881e-17
9.420000e+01 2.202954e-17 0.000000e+00 2.202954e-17
9.520000e+01 2.236027e-17 0.000000e+00 2.236027e-17
9.620000e+01 2.267512e-17 0.000000e+00 2.267512e-17
9.720000e+01 2.298660e-17 0.000000e+00 2.298660e-17
9.820000e+01 2.329808e-17 0.000000e+00 2.329808e-17
9.920000e+01 2.360955e-17 0.000000e+00 2.360955e-17
1.002000e+02 2.392103e-17 0.000000e+00 2.392103e-17
1.012000e+02 2.423250e-17 0.000000e+00 2.423250e-17
1.022000e+02 2.454398e-17 0.000000e+00 2.454398e-17
1.032000e+02 2.485546e-17 0.000000e+00 2.485546e-17
1.042000e+02 2.529258e-17 0.000000e+00 2.529258e-17
1.052000e+02 2.574737e-17 0.000000e+00 2.574737e-17
1.062000e+02 2.620217e-17 0.000000e+00 2.620217e-17
1.072000e+02 2.665697e-17 0.000000e+00 2.665697e-17
1.082000e+02 2.711177e-17 0.000000e+00 2.711177e-17
1.092000e+02 2.736249e-17 0.000000e+00 2.736249e-17
1.102000e+02 2.687894e-17 1.108305e-18 2.577064e-17
1.112000e+02 2.695677e-17 3.333694e-18 2.362308e-17
1.122000e+02 2.703460e-17 5.126406e-18 2.190820e-17
1.132000e+02 2.711243e-17 7.402645e-18 1.970979e-17
1.142000e+02 2.719026e-17 8.150683e-18 1.903958e-17
1.152000e+02 2.726809e-17 9.541696e-18 1.772639e-17
1.162000e+02 2.738361e-17 1.035612e-17 1.702748e-17
1.172000e+02 2.764135e-17 1.141790e-17 1.622345e-17
1.182000e+02 2.705479e-17 1.136859e-17 1.568619e-17
1.192000e+02 2.613840e-17 1.305689e-17 1.308151e-17
1.202000e+02 2.450230e-17 1.372830e-17 1.077400e-17
1.212000e+02 2.240660e-17 1.957412e-17 2.832478e-18
1.222000e+02 1.987060e-17 1.966048e-17 2.101230e-19
1.232000e+02 1.849695e-17 1.843046e-17 6.649317e-20
1.242000e+02 1.828117e-17 1.819722e-17 8.395352e-20
1.252000e+02 1.756810e-17 1.748264e-17 8.545861e-20
1.262000e+02 1.621655e-17 1.617856e-17 3.798980e-20
1.272000e+02 2.197115e-17 2.191718e-17 5.396602e-20
1.282000e+02 1.617505e-17 1.610472e-17 7.032570e-20
1.292000e+02 1.478423e-17 1.469779e-17 8.643161e-20
1.302000e+02 3.083225e-17 3.081062e-17 2.163125e-20
1.312000e+02 1.606380e-17 1.606380e-17 0.000000e+00
1.322000e+02 1.596920e-17 1.596920e-17 0.000000e+00
1.332000e+02 1.517013e-17 1.517013e-17 0.000000e+00
1.342000e+02 2.164290e-17 2.164290e-17 0.000000e+00
1.352000e+02 1.871070e-17 1.871070e-17 0.000000e+00
1.362000e+02 2.457015e-17 2.457015e-17 0.000000e+00
1.372000e+02 3.385565e-17 3.385565e-17 0.000000e+00
1.382000e+02 4.388717e-17 4.388717e-17 0.000000e+00
1.392000e+02 1.704804e-17 1.704804e-17 0.000000e+00
1.402000e+02 2.505649e-17 2.505649e-17 0.000000e+00
1.412000e+02 1.710319e-17 1.710319e-17 0.000000e+00
1.422000e+02 1.405658e-17 1.405658e-17 0.000000e+00
1.432000e+02 1.151059e-17 1.151059e-17 0.000000e+00
1.442000e+02 1.571222e-17 1.571222e-17 0.000000e+00
1.452000e+02 1.513593e-17 1.513593e-17 0.000000e+00
1.462000e+02 1.906733e-17 1.906733e-17 0.000000e+00
1.472000e+02 3.560600e-17 3.560600e-17 0.000000e+00
1.482000e+02 2.478858e-17 2.478858e-17 0.000000e+00
1.492000e+02 1.919872e-17 1.919872e-17 0.000000e+00
1.502000e+02 1.454416e-17 1.454416e-17 0.000000e+00
1.512000e+02 6.970072e-18 6.970072e-18 0.000000e+00
1.522000e+02 5.790831e-18 5.790831e-18 0.000000e+00
1.532000e+02 5.521633e-18 5.521633e-18 0.000000e+00
1.542000e+02 5.167556e-18 5.167556e-18 0.000000e+00
1.552000e+02 8.953526e-18 8.953526e-18 0.000000e+00
1.562000e+02 8.893495e-18 8.893495e-18 0.000000e+00
1.572000e+02 9.399281e-18 9.399281e-18 0.000000e+00
1.582000e+02 1.167121e-17 1.167121e-17 0.000000e+00
1.592000e+02 1.713924e-17 1.713924e-17 0.000000e+00
1.602000e+02 2.210179e-17 2.210179e-17 0.000000e+00
1.612000e+02 1.017138e-17 1.017138e-17 0.000000e+00
1.622000e+02 1.211738e-17 1.211738e-17 0.000000e+00
1.632000e+02 2.737032e-17 2.737032e-17 0.000000e+00
1.642000e+02 2.285351e-17 2.285351e-17 0.000000e+00
1.652000e+02 2.568425e-17 2.568425e-17 0.000000e+00
1.662000e+02 6.620395e-17 6.620395e-17 0.000000e+00
1.672000e+02 7.211946e-18 7.211946e-18 0.000000e+00
