# CH3NH2 cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 4.598377e-17 0.000000e+00 4.598377e-17
9.220000e+01 4.634348e-17 0.000000e+00 4.634348e-17
9.320000e+01 4.579087e-17 0.000000e+00 4.579087e-17
9.420000e+01 4.748370e-17 0.000000e+00 4.748370e-17
9.520000e+01 4.766091e-17 0.000000e+00 4.766091e-17
9.620000e+01 4.912348e-17 0.000000e+00 4.912348e-17
9.720000e+01 4.608665e-17 0.000000e+00 4.608665e-17
9.820000e+01 4.597987e-17 0.000000e+00 4.597987e-17
9.920000e+01 4.302077e-17 0.000000e+00 4.302077e-17
1.002000e+02 4.049198e-17 0.000000e+00 4.049198e-17
1.012000e+02 3.864792e-17 0.000000e+00 3.864792e-17
1.022000e+02 3.518083e-17 0.000000e+00 3.518083e-17
1.032000e+02 3.288440e-17 0.000000e+00 3.288440e-17
1.042000e+02 3.171530e-17 0.000000e+00 3.171530e-17
1.052000e+02 3.218502e-17 0.000000e+00 3.218502e-17
1.062000e+02 3.284799e-17 0.000000e+00 3.284799e-17
1.072000e+02 3.339020e-17 0.000000e+00 3.339020e-17
1.082000e+02 3.287379e-17 0.000000e+00 3.287379e-17
1.092000e+02 3.337988e-17 0.000000e+00 3.337988e-17
1.102000e+02 3.251333e-17 0.000000e+00 3.251333e-17
1.112000e+02 3.172038e-17 0.000000e+00 3.172038e-17
1.122000e+02 2.949247e-17 0.000000e+00 2.949247e-17
1.132000e+02 2.962295e-17 0.000000e+00 2.962295e-17
1.142000e+02 2.733116e-17 0.000000e+00 2.733116e-17
1.152000e+02 2.660498e-17 0.000000e+00 2.660498e-17
1.162000e+02 2.650449e-17 0.000000e+00 2.650449e-17
1.172000e+02 2.563470e-17 0.000000e+00 2.563470e-17
1.182000e+02 2.569751e-17 0.000000e+00 2.569751e-17
1.192000e+02 2.500767e-17 0.000000e+00 2.500767e-17
1.202000e+02 2.481413e-17 0.000000e+00 2.481413e-17
1.212000e+02 2.433755e-17 0.000000e+00 2.433755e-17
1.222000e+02 2.269898e-17 2.356134e-19 2.306563e-17
1.232000e+02 2.151728e-17 6.639417e-21 2.202484e-17
1.242000e+02 1.938701e-17 0.000000e+00 2.074440e-17
1.252000e+02 2.006325e-17 1.859699e-18 1.820356e-17
1.262000e+02 1.816627e-17 2.154845e-18 1.601143e-17
1.272000e+02 1.668496e-17 4.106675e-18 1.257828e-17
1.282000e+02 1.572223e-17 5.102613e-18 1.061962e-17
1.292000e+02 1.377701e-17 5.582120e-18 8.194895e-18
1.302000e+02 1.216967e-17 5.920212e-18 6.249458e-18
1.312000e+02 1.209093e-17 7.508674e-18 4.582261e-18
1.322000e+02 1.151702e-17 8.701112e-18 2.815910e-18
1.332000e+02 1.066610e-17 8.858573e-18 1.807525e-18
1.342000e+02 9.959860e-18 8.988329e-18 9.715310e-19
1.352000e+02 9.114015e-18 8.509131e-18 6.048835e-19
1.362000e+02 9.398237e-18 8.899185e-18 4.990521e-19
1.372000e+02 8.342496e-18 8.342496e-18 0.000000e+00
1.382000e+02 5.258694e-18 5.258694e-18 0.000000e+00
1.392000e+02 4.768340e-18 4.768340e-18 0.000000e+00
1.402000e+02 4.714436e-18 4.714436e-18 0.000000e+00
1.412000e+02 4.214081e-18 4.214081e-18 0.000000e+00
1.422000e+02 4.147902e-18 4.147902e-18 0.000000e+00
1.432000e+02 3.960735e-18 3.960735e-18 0.000000e+00
1.442000e+02 3.598260e-18 3.598260e-18 0.000000e+00
1.452000e+02 3.583062e-18 3.583062e-18 0.000000e+00
1.462000e+02 3.452235e-18 3.452235e-18 0.000000e+00
1.472000e+02 3.169880e-18 3.169880e-18 0.000000e+00
1.482000e+02 3.213551e-18 3.213551e-18 0.000000e+00
1.492000e+02 3.132811e-18 3.132811e-18 0.000000e+00
1.502000e+02 2.722898e-18 2.722898e-18 0.000000e+00
1.512000e+02 2.865246e-18 2.865246e-18 0.000000e+00
1.522000e+02 2.591496e-18 2.591496e-18 0.000000e+00
1.532000e+02 2.915090e-18 2.915090e-18 0.000000e+00
1.542000e+02 2.571367e-18 2.571367e-18 0.000000e+00
1.552000e+02 2.700145e-18 2.700145e-18 0.000000e+00
1.562000e+02 2.672462e-18 2.672462e-18 0.000000e+00
1.572000e+02 2.944524e-18 2.944524e-18 0.000000e+00
1.582000e+02 2.951274e-18 2.951274e-18 0.000000e+00
1.592000e+02 3.217261e-18 3.217261e-18 0.000000e+00
1.602000e+02 3.398263e-18 3.398263e-18 0.000000e+00
1.612000e+02 3.647997e-18 3.647997e-18 0.000000e+00
1.622000e+02 3.892626e-18 3.892626e-18 0.000000e+00
1.632000e+02 4.234220e-18 4.234220e-18 0.000000e+00
1.642000e+02 4.569955e-18 4.569955e-18 0.000000e+00
1.652000e+02 4.932168e-18 4.932168e-18 0.000000e+00
1.662000e+02 5.357973e-18 5.357973e-18 0.000000e+00
1.672000e+02 5.725662e-18 5.725662e-18 0.000000e+00
1.682000e+02 6.123859e-18 6.123859e-18 0.000000e+00
1.692000e+02 6.541930e-18 6.541930e-18 0.000000e+00
1.702000e+02 6.901179e-18 6.901179e-18 0.000000e+00
1.712000e+02 6.943734e-18 6.943734e-18 0.000000e+00
1.722000e+02 7.264942e-18 7.264942e-18 0.000000e+00
1.732000e+02 7.254095e-18 7.254095e-18 0.000000e+00
1.742000e+02 7.423573e-18 7.423573e-18 0.000000e+00
1.752000e+02 7.143393e-18 7.143393e-18 0.000000e+00
1.762000e+02 6.798084e-18 6.798084e-18 0.000000e+00
1.772000e+02 7.520526e-18 7.520526e-18 0.000000e+00
1.782000e+02 6.632146e-18 6.632146e-18 0.000000e+00
1.792000e+02 5.931603e-18 5.931603e-18 0.000000e+00
1.802000e+02 6.759645e-18 6.759645e-18 0.000000e+00
1.812000e+02 5.767469e-18 5.767469e-18 0.000000e+00
1.822000e+02 4.593967e-18 4.593967e-18 0.000000e+00
1.832000e+02 4.720321e-18 4.720321e-18 0.000000e+00
1.842000e+02 3.938058e-18 3.938058e-18 0.000000e+00
1.852000e+02 3.599315e-18 3.599315e-18 0.000000e+00
1.862000e+02 3.778049e-18 3.778049e-18 0.000000e+00
1.872000e+02 2.893825e-18 2.893825e-18 0.000000e+00
1.882000e+02 2.546736e-18 2.546736e-18 0.000000e+00
1.892000e+02 2.697528e-18 2.697528e-18 0.000000e+00
1.902000e+02 2.236318e-18 2.236318e-18 0.000000e+00
1.912000e+02 2.008972e-18 2.008972e-18 0.000000e+00
1.922000e+02 1.898143e-18 1.898143e-18 0.000000e+00
1.932000e+02 1.680440e-18 1.680440e-18 0.000000e+00
1.942000e+02 1.384272e-18 1.384272e-18 0.000000e+00
1.952000e+02 1.442586e-18 1.442586e-18 0.000000e+00
1.962000e+02 1.332263e-18 1.332263e-18 0.000000e+00
1.972000e+02 1.202243e-18 1.202243e-18 0.000000e+00
1.982000e+02 1.240545e-18 1.240545e-18 0.000000e+00
1.992000e+02 1.274152e-18 1.274152e-18 0.000000e+00
2.002000e+02 1.342643e-18 1.342643e-18 0.000000e+00
2.012000e+02 1.412755e-18 1.412755e-18 0.000000e+00
2.022000e+02 1.496822e-18 1.496822e-18 0.000000e+00
2.032000e+02 1.558042e-18 1.558042e-18 0.000000e+00
2.042000e+02 1.687488e-18 1.687488e-18 0.000000e+00
2.052000e+02 1.662206e-18 1.662206e-18 0.000000e+00
2.062000e+02 1.667944e-18 1.667944e-18 0.000000e+00
2.072000e+02 1.932119e-18 1.932119e-18 0.000000e+00
2.082000e+02 1.870143e-18 1.870143e-18 0.000000e+00
2.092000e+02 1.709301e-18 1.709301e-18 0.000000e+00
2.102000e+02 2.032483e-18 2.032483e-18 0.000000e+00
2.112000e+02 2.118345e-18 2.118345e-18 0.000000e+00
2.122000e+02 1.743298e-18 1.743298e-18 0.000000e+00
2.132000e+02 2.084742e-18 2.084742e-18 0.000000e+00
2.142000e+02 2.226790e-18 2.226790e-18 0.000000e+00
2.152000e+02 1.723487e-18 1.723487e-18 0.000000e+00
2.162000e+02 2.094811e-18 2.094811e-18 0.000000e+00
2.172000e+02 1.992013e-18 1.992013e-18 0.000000e+00
2.182000e+02 1.641784e-18 1.641784e-18 0.000000e+00
2.192000e+02 2.325805e-18 2.325805e-18 0.000000e+00
2.202000e+02 1.646343e-18 1.646343e-18 0.000000e+00
2.212000e+02 1.593481e-18 1.593481e-18 0.000000e+00
2.222000e+02 2.208198e-18 2.208198e-18 0.000000e+00
2.232000e+02 1.244395e-18 1.244395e-18 0.000000e+00
2.242000e+02 1.736513e-18 1.736513e-18 0.000000e+00
2.252000e+02 1.486150e-18 1.486150e-18 0.000000e+00
2.262000e+02 9.873169e-19 9.873169e-19 0.000000e+00
2.272000e+02 1.850863e-18 1.850863e-18 0.000000e+00
2.282000e+02 8.418565e-19 8.418565e-19 0.000000e+00
2.292000e+02 1.018626e-18 1.018626e-18 0.000000e+00
2.302000e+02 9.515180e-19 9.515180e-19 0.000000e+00
2.312000e+02 6.319700e-19 6.319700e-19 0.000000e+00
2.322000e+02 7.707212e-19 7.707212e-19 0.000000e+00
2.332000e+02 4.334291e-19 4.334291e-19 0.000000e+00
2.342000e+02 5.187845e-19 5.187845e-19 0.000000e+00
2.352000e+02 3.481028e-19 3.481028e-19 0.000000e+00
