# CH3SH cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 2.572807e-17 0.000000e+00 2.572807e-17
9.220000e+01 2.595149e-17 0.000000e+00 2.595149e-17
9.320000e+01 2.544019e-17 0.000000e+00 2.544019e-17
9.420000e+01 2.479819e-17 0.000000e+00 2.479819e-17
9.520000e+01 2.384859e-17 0.000000e+00 2.384859e-17
9.620000e+01 2.451045e-17 0.000000e+00 2.451045e-17
9.720000e+01 2.498882e-17 0.000000e+00 2.498882e-17
9.820000e+01 2.669652e-17 0.000000e+00 2.669652e-17
9.920000e+01 2.962231e-17 5.200914e-19 2.910222e-17
1.002000e+02 3.303993e-17 1.179905e-18 3.186003e-17
1.012000e+02 3.645755e-17 1.839719e-18 3.461784e-17
1.022000e+02 3.987518e-17 2.499532e-18 3.737565e-17
1.032000e+02 4.306574e-17 3.224763e-18 3.984098e-17
1.042000e+02 4.654903e-17 4.235427e-18 4.231360e-17
1.052000e+02 5.046038e-17 5.246090e-18 4.521429e-17
1.062000e+02 5.417312e-17 6.256753e-18 4.791637e-17
1.072000e+02 5.669207e-17 7.267417e-18 4.942465e-17
1.082000e+02 5.765209e-17 8.278080e-18 4.937401e-17
1.092000e+02 5.817978e-17 9.288743e-18 4.889103e-17
1.102000e+02 5.880285e-17 1.029941e-17 4.850345e-17
1.112000e+02 5.900346e-17 1.131007e-17 4.769339e-17
1.122000e+02 5.988194e-17 1.232073e-17 4.756120e-17
1.132000e+02 6.074806e-17 1.333140e-17 4.741666e-17
1.142000e+02 6.130520e-17 1.434206e-17 4.696314e-17
1.152000e+02 5.975756e-17 1.535272e-17 4.440483e-17
1.162000e+02 5.611403e-17 1.636339e-17 3.975064e-17
1.172000e+02 5.306466e-17 1.737405e-17 3.569061e-17
1.182000e+02 5.011506e-17 1.838471e-17 3.173035e-17
1.192000e+02 4.726682e-17 1.939538e-17 2.787144e-17
1.202000e+02 4.623817e-17 2.040604e-17 2.583213e-17
1.212000e+02 4.551813e-17 2.141670e-17 2.410143e-17
1.222000e+02 4.544045e-17 2.242737e-17 2.301309e-17
1.232000e+02 4.527959e-17 2.343803e-17 2.184156e-17
1.242000e+02 4.502613e-17 2.444869e-17 2.057744e-17
1.252000e+02 4.499054e-17 2.545936e-17 1.953119e-17
1.262000e+02 4.505212e-17 2.647002e-17 1.858210e-17
1.272000e+02 4.505442e-17 2.748068e-17 1.757374e-17
1.282000e+02 4.492095e-17 2.849135e-17 1.642960e-17
1.292000e+02 4.351428e-17 2.950201e-17 1.401227e-17
1.302000e+02 4.162993e-17 3.036248e-17 1.126745e-17
