# CO2 cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 5.136217e-17 5.136363e-17 0.000000e+00
9.220000e+01 3.793745e-17 3.793721e-17 0.000000e+00
9.320000e+01 3.340881e-17 3.340984e-17 0.000000e+00
9.420000e+01 3.744564e-17 3.744448e-17 0.000000e+00
9.520000e+01 5.564989e-17 5.565243e-17 0.000000e+00
9.620000e+01 3.557700e-17 3.557744e-17 0.000000e+00
9.720000e+01 1.647666e-17 1.647630e-17 0.000000e+00
9.820000e+01 1.034851e-16 9.191818e-17 0.000000e+00
9.920000e+01 6.483100e-17 6.613150e-17 0.000000e+00
1.002000e+02 3.744747e-17 3.749053e-17 0.000000e+00
1.012000e+02 2.653554e-17 2.715442e-17 0.000000e+00
1.022000e+02 4.627077e-17 4.847360e-17 0.000000e+00
1.032000e+02 1.773405e-17 1.893171e-17 0.000000e+00
1.042000e+02 1.738071e-17 1.743858e-17 0.000000e+00
1.052000e+02 1.156428e-17 1.707071e-17 0.000000e+00
1.062000e+02 2.425050e-17 2.493123e-17 0.000000e+00
1.072000e+02 1.071678e-17 1.074831e-17 0.000000e+00
1.082000e+02 1.799682e-17 1.798708e-17 0.000000e+00
1.092000e+02 1.443013e-17 1.442351e-17 0.000000e+00
1.102000e+02 1.066634e-17 1.066402e-17 0.000000e+00
1.112000e+02 3.750259e-17 3.748873e-17 0.000000e+00
1.122000e+02 1.579842e-16 1.579870e-16 0.000000e+00
1.132000e+02 2.403421e-17 2.405679e-17 0.000000e+00
1.142000e+02 1.496312e-17 1.496329e-17 0.000000e+00
1.152000e+02 1.250986e-18 1.251725e-18 0.000000e+00
1.162000e+02 2.264004e-19 2.265501e-19 0.000000e+00
1.172000e+02 1.326900e-19 1.326042e-19 0.000000e+00
1.182000e+02 5.879384e-20 5.892504e-20 0.000000e+00
1.192000e+02 4.200122e-20 4.199866e-20 0.000000e+00
