# CS2 cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 6.098131e-17 4.780881e-17 1.317249e-17
9.220000e+01 7.329353e-17 6.071287e-17 1.258066e-17
9.320000e+01 1.186103e-16 1.012236e-16 1.738671e-17
9.420000e+01 5.223452e-17 3.661069e-17 1.562382e-17
9.520000e+01 1.271390e-16 1.114446e-16 1.569444e-17
9.620000e+01 8.890096e-17 7.783626e-17 1.106470e-17
9.720000e+01 5.083490e-17 4.059044e-17 1.024445e-17
9.820000e+01 7.202437e-17 5.898917e-17 1.303519e-17
9.920000e+01 8.187100e-17 6.738842e-17 1.448257e-17
1.002000e+02 8.635261e-17 7.105805e-17 1.529456e-17
1.012000e+02 9.083422e-17 7.472767e-17 1.610655e-17
1.022000e+02 9.531583e-17 7.839730e-17 1.691853e-17
1.032000e+02 9.979744e-17 8.206692e-17 1.773052e-17
1.042000e+02 9.820502e-17 7.940115e-17 1.880387e-17
1.052000e+02 7.267426e-17 5.176699e-17 2.090727e-17
1.062000e+02 4.940536e-17 4.034095e-17 9.064411e-18
1.072000e+02 4.492387e-17 3.700569e-17 7.918189e-18
1.082000e+02 4.578777e-17 3.783002e-17 7.957747e-18
1.092000e+02 4.864533e-17 4.197406e-17 6.671271e-18
1.102000e+02 5.334869e-17 4.675934e-17 6.589351e-18
1.112000e+02 1.173297e-16 1.045431e-16 1.278659e-17
1.122000e+02 4.178153e-17 3.653976e-17 5.241767e-18
1.132000e+02 2.429490e-17 2.098044e-17 3.314453e-18
1.142000e+02 2.503975e-17 2.177675e-17 3.263003e-18
1.152000e+02 2.828281e-17 2.514641e-17 3.136404e-18
1.162000e+02 2.949050e-17 2.635830e-17 3.132196e-18
1.172000e+02 2.917064e-17 2.616862e-17 3.002019e-18
1.182000e+02 2.806896e-17 2.526495e-17 2.804009e-18
1.192000e+02 2.654863e-17 2.404875e-17 2.499876e-18
1.202000e+02 2.308556e-17 2.108747e-17 1.998092e-18
1.212000e+02 1.901038e-17 1.792868e-17 1.081699e-18
1.222000e+02 1.615659e-17 1.552986e-17 6.267375e-19
1.232000e+02 1.074088e-17 1.053627e-17 2.046092e-19
1.242000e+02 2.010928e-17 2.010928e-17 0.000000e+00
1.252000e+02 2.445436e-17 2.445436e-17 0.000000e+00
1.262000e+02 1.061591e-17 1.061591e-17 0.000000e+00
1.272000e+02 2.027102e-17 2.027102e-17 0.000000e+00
