# H2+ cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 3.435200e-18 3.435200e-18 0.000000e+00
9.220000e+01 3.731200e-18 3.731200e-18 0.000000e+00
9.320000e+01 4.041200e-18 4.041200e-18 0.000000e+00
9.420000e+01 4.357200e-18 4.357200e-18 0.000000e+00
9.520000e+01 4.670800e-18 4.670800e-18 0.000000e+00
9.620000e+01 4.974800e-18 4.974800e-18 0.000000e+00
9.720000e+01 5.278800e-18 5.278800e-18 0.000000e+00
9.820000e+01 5.563200e-18 5.563200e-18 0.000000e+00
9.920000e+01 5.839200e-18 5.839200e-18 0.000000e+00
1.002000e+02 6.103200e-18 6.103200e-18 0.000000e+00
1.012000e+02 6.319200e-18 6.319200e-18 0.000000e+00
1.022000e+02 6.535200e-18 6.535200e-18 0.000000e+00
1.032000e+02 6.751200e-18 6.751200e-18 0.000000e+00
1.042000e+02 6.967200e-18 6.967200e-18 0.000000e+00
1.052000e+02 7.158800e-18 7.158800e-18 0.000000e+00
1.062000e+02 7.252800e-18 7.252800e-18 0.000000e+00
1.072000e+02 7.346800e-18 7.346800e-18 0.000000e+00
1.082000e+02 7.440800e-18 7.440800e-18 0.000000e+00
1.092000e+02 7.534800e-18 7.534800e-18 0.000000e+00
1.102000e+02 7.608400e-18 7.608400e-18 0.000000e+00
1.112000e+02 7.600400e-18 7.600400e-18 0.000000e+00
1.122000e+02 7.592400e-18 7.592400e-18 0.000000e+00
1.132000e+02 7.584400e-18 7.584400e-18 0.000000e+00
1.142000e+02 7.576400e-18 7.576400e-18 0.000000e+00
1.152000e+02 7.550400e-18 7.550400e-18 0.000000e+00
1.162000e+02 7.452400e-18 7.452400e-18 0.000000e+00
1.172000e+02 7.354400e-18 7.354400e-18 0.000000e+00
1.182000e+02 7.256400e-18 7.256400e-18 0.000000e+00
1.192000e+02 7.158400e-18 7.158400e-18 0.000000e+00
1.202000e+02 7.048000e-18 7.048000e-18 0.000000e+00
1.212000e+02 6.888000e-18 6.888000e-18 0.000000e+00
1.222000e+02 6.728000e-18 6.728000e-18 0.000000e+00
1.232000e+02 6.568000e-18 6.568000e-18 0.000000e+00
1.242000e+02 6.408000e-18 6.408000e-18 0.000000e+00
1.252000e+02 6.240400e-18 6.240400e-18 0.000000e+00
1.262000e+02 6.042400e-18 6.042400e-18 0.000000e+00
1.272000e+02 5.844400e-18 5.844400e-18 0.000000e+00
1.282000e+02 5.646400e-18 5.646400e-18 0.000000e+00
1.292000e+02 5.448400e-18 5.448400e-18 0.000000e+00
1.302000e+02 5.259200e-18 5.259200e-18 0.000000e+00
1.312000e+02 5.105200e-18 5.105200e-18 0.000000e+00
1.322000e+02 4.951200e-18 4.951200e-18 0.000000e+00
1.332000e+02 4.797200e-18 4.797200e-18 0.000000e+00
1.342000e+02 4.643200e-18 4.643200e-18 0.000000e+00
1.352000e+02 4.471600e-18 4.471600e-18 0.000000e+00
1.362000e+02 4.229600e-18 4.229600e-18 0.000000e+00
1.372000e+02 3.987600e-18 3.987600e-18 0.000000e+00
1.382000e+02 3.745600e-18 3.745600e-18 0.000000e+00
1.392000e+02 3.503600e-18 3.503600e-18 0.000000e+00
1.402000e+02 3.276800e-18 3.276800e-18 0.000000e+00
1.412000e+02 3.110800e-18 3.110800e-18 0.000000e+00
1.422000e+02 2.944800e-18 2.944800e-18 0.000000e+00
1.432000e+02 2.778800e-18 2.778800e-18 0.000000e+00
1.442000e+02 2.612800e-18 2.612800e-18 0.000000e+00
1.452000e+02 2.453200e-18 2.453200e-18 0.000000e+00
1.462000e+02 2.319200e-18 2.319200e-18 0.000000e+00
1.472000e+02 2.185200e-18 2.185200e-18 0.000000e+00
1.482000e+02 2.051200e-18 2.051200e-18 0.000000e+00
1.492000e+02 1.917200e-18 1.917200e-18 0.000000e+00
1.502000e+02 1.788800e-18 1.788800e-18 0.000000e+00
1.512000e+02 1.682800e-18 1.682800e-18 0.000000e+00
1.522000e+02 1.576800e-18 1.576800e-18 0.000000e+00
1.532000e+02 1.470800e-18 1.470800e-18 0.000000e+00
1.542000e+02 1.364800e-18 1.364800e-18 0.000000e+00
1.552000e+02 1.264440e-18 1.264440e-18 0.000000e+00
1.562000e+02 1.186640e-18 1.186640e-18 0.000000e+00
1.572000e+02 1.108840e-18 1.108840e-18 0.000000e+00
1.582000e+02 1.031040e-18 1.031040e-18 0.000000e+00
1.592000e+02 9.532400e-19 9.532400e-19 0.000000e+00
1.602000e+02 8.794800e-19 8.794800e-19 0.000000e+00
1.612000e+02 8.218800e-19 8.218800e-19 0.000000e+00
1.622000e+02 7.642800e-19 7.642800e-19 0.000000e+00
1.632000e+02 7.066800e-19 7.066800e-19 0.000000e+00
1.642000e+02 6.490800e-19 6.490800e-19 0.000000e+00
1.652000e+02 5.948400e-19 5.948400e-19 0.000000e+00
1.662000e+02 5.540400e-19 5.540400e-19 0.000000e+00
1.672000e+02 5.132400e-19 5.132400e-19 0.000000e+00
1.682000e+02 4.724400e-19 4.724400e-19 0.000000e+00
1.692000e+02 4.316400e-19 4.316400e-19 0.000000e+00
1.702000e+02 3.934000e-19 3.934000e-19 0.000000e+00
1.712000e+02 3.654000e-19 3.654000e-19 0.000000e+00
1.722000e+02 3.374000e-19 3.374000e-19 0.000000e+00
1.732000e+02 3.094000e-19 3.094000e-19 0.000000e+00
1.742000e+02 2.814000e-19 2.814000e-19 0.000000e+00
1.752000e+02 2.552400e-19 2.552400e-19 0.000000e+00
1.762000e+02 2.364400e-19 2.364400e-19 0.000000e+00
1.772000e+02 2.176400e-19 2.176400e-19 0.000000e+00
1.782000e+02 1.988400e-19 1.988400e-19 0.000000e+00
1.792000e+02 1.800400e-19 1.800400e-19 0.000000e+00
1.802000e+02 1.625600e-19 1.625600e-19 0.000000e+00
1.812000e+02 1.503600e-19 1.503600e-19 0.000000e+00
1.822000e+02 1.381600e-19 1.381600e-19 0.000000e+00
1.832000e+02 1.259600e-19 1.259600e-19 0.000000e+00
1.842000e+02 1.137600e-19 1.137600e-19 0.000000e+00
1.852000e+02 1.024120e-19 1.024120e-19 0.000000e+00
1.862000e+02 9.447200e-20 9.447200e-20 0.000000e+00
1.872000e+02 8.653200e-20 8.653200e-20 0.000000e+00
1.882000e+02 7.859200e-20 7.859200e-20 0.000000e+00
1.892000e+02 7.065200e-20 7.065200e-20 0.000000e+00
1.902000e+02 6.349200e-20 6.349200e-20 0.000000e+00
1.912000e+02 5.945200e-20 5.945200e-20 0.000000e+00
1.922000e+02 5.541200e-20 5.541200e-20 0.000000e+00
1.932000e+02 5.137200e-20 5.137200e-20 0.000000e+00
1.942000e+02 4.733200e-20 4.733200e-20 0.000000e+00
1.952000e+02 4.329200e-20 4.329200e-20 0.000000e+00
1.962000e+02 3.925200e-20 3.925200e-20 0.000000e+00
1.972000e+02 3.521200e-20 3.521200e-20 0.000000e+00
1.982000e+02 3.117200e-20 3.117200e-20 0.000000e+00
1.992000e+02 2.713200e-20 2.713200e-20 0.000000e+00
2.002000e+02 2.359100e-20 2.359100e-20 0.000000e+00
2.012000e+02 2.204600e-20 2.204600e-20 0.000000e+00
2.022000e+02 2.050100e-20 2.050100e-20 0.000000e+00
2.032000e+02 1.895600e-20 1.895600e-20 0.000000e+00
2.042000e+02 1.741100e-20 1.741100e-20 0.000000e+00
2.052000e+02 1.586600e-20 1.586600e-20 0.000000e+00
2.062000e+02 1.432100e-20 1.432100e-20 0.000000e+00
2.072000e+02 1.277600e-20 1.277600e-20 0.000000e+00
2.082000e+02 1.123100e-20 1.123100e-20 0.000000e+00
2.092000e+02 9.686000e-21 9.686000e-21 0.000000e+00
2.102000e+02 8.337600e-21 8.337600e-21 0.000000e+00
2.112000e+02 7.775600e-21 7.775600e-21 0.000000e+00
2.122000e+02 7.213600e-21 7.213600e-21 0.000000e+00
2.132000e+02 6.651600e-21 6.651600e-21 0.000000e+00
2.142000e+02 6.089600e-21 6.089600e-21 0.000000e+00
2.152000e+02 5.527600e-21 5.527600e-21 0.000000e+00
2.162000e+02 4.965600e-21 4.965600e-21 0.000000e+00
2.172000e+02 4.403600e-21 4.403600e-21 0.000000e+00
2.182000e+02 3.841600e-21 3.841600e-21 0.000000e+00
2.192000e+02 3.279600e-21 3.279600e-21 0.000000e+00
2.202000e+02 2.804590e-21 2.804590e-21 0.000000e+00
2.212000e+02 2.677540e-21 2.677540e-21 0.000000e+00
2.222000e+02 2.550490e-21 2.550490e-21 0.000000e+00
2.232000e+02 2.423440e-21 2.423440e-21 0.000000e+00
2.242000e+02 2.296390e-21 2.296390e-21 0.000000e+00
2.252000e+02 2.169340e-21 2.169340e-21 0.000000e+00
2.262000e+02 2.042290e-21 2.042290e-21 0.000000e+00
2.272000e+02 1.915240e-21 1.915240e-21 0.000000e+00
2.282000e+02 1.788190e-21 1.788190e-21 0.000000e+00
2.292000e+02 1.661140e-21 1.661140e-21 0.000000e+00
2.302000e+02 1.534090e-21 1.534090e-21 0.000000e+00
2.312000e+02 1.407040e-21 1.407040e-21 0.000000e+00
2.322000e+02 1.279990e-21 1.279990e-21 0.000000e+00
2.332000e+02 1.152940e-21 1.152940e-21 0.000000e+00
2.342000e+02 1.025890e-21 1.025890e-21 0.000000e+00
2.352000e+02 8.988400e-22 8.988400e-22 0.000000e+00
2.362000e+02 7.717900e-22 7.717900e-22 0.000000e+00
2.372000e+02 6.447400e-22 6.447400e-22 0.000000e+00
2.382000e+02 5.176900e-22 5.176900e-22 0.000000e+00
2.392000e+02 3.906400e-22 3.906400e-22 0.000000e+00
2.402000e+02 2.863640e-22 2.863640e-22 0.000000e+00
2.412000e+02 2.731840e-22 2.731840e-22 0.000000e+00
2.422000e+02 2.600040e-22 2.600040e-22 0.000000e+00
2.432000e+02 2.468240e-22 2.468240e-22 0.000000e+00
2.442000e+02 2.336440e-22 2.336440e-22 0.000000e+00
2.452000e+02 2.204640e-22 2.204640e-22 0.000000e+00
2.462000e+02 2.072840e-22 2.072840e-22 0.000000e+00
2.472000e+02 1.941040e-22 1.941040e-22 0.000000e+00
2.482000e+02 1.809240e-22 1.809240e-22 0.000000e+00
2.492000e+02 1.677440e-22 1.677440e-22 0.000000e+00
2.502000e+02 1.545640e-22 1.545640e-22 0.000000e+00
2.512000e+02 1.413840e-22 1.413840e-22 0.000000e+00
2.522000e+02 1.282040e-22 1.282040e-22 0.000000e+00
2.532000e+02 1.150240e-22 1.150240e-22 0.000000e+00
2.542000e+02 1.018440e-22 1.018440e-22 0.000000e+00
2.552000e+02 8.866400e-23 8.866400e-23 0.000000e+00
2.562000e+02 7.548400e-23 7.548400e-23 0.000000e+00
2.572000e+02 6.230400e-23 6.230400e-23 0.000000e+00
2.582000e+02 4.912400e-23 4.912400e-23 0.000000e+00
2.592000e+02 3.594400e-23 3.594400e-23 0.000000e+00
2.602000e+02 2.516490e-23 2.516490e-23 0.000000e+00
2.612000e+02 2.398940e-23 2.398940e-23 0.000000e+00
