# H2CO cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 3.461835e-17 1.466773e-17 1.995062e-17
9.220000e+01 4.720960e-17 2.078189e-17 2.642771e-17
9.320000e+01 5.575574e-17 2.312448e-17 3.263126e-17
9.420000e+01 5.864270e-17 2.282449e-17 3.581821e-17
9.520000e+01 4.618476e-17 1.679736e-17 2.938740e-17
9.620000e+01 3.022542e-17 9.967064e-18 2.025835e-17
9.720000e+01 2.544898e-17 7.559511e-18 1.788947e-17
9.820000e+01 2.935402e-17 7.720592e-18 2.163342e-17
9.920000e+01 1.879856e-17 4.359882e-18 1.443868e-17
1.002000e+02 1.836909e-17 4.408766e-18 1.396033e-17
1.012000e+02 1.547206e-17 3.863138e-18 1.160893e-17
1.022000e+02 1.555677e-17 4.035126e-18 1.152165e-17
1.032000e+02 1.518597e-17 2.664762e-18 1.252121e-17
1.042000e+02 1.678896e-17 6.170286e-19 1.617193e-17
1.052000e+02 1.801984e-17 3.980925e-18 1.403892e-17
1.062000e+02 1.589880e-17 1.510354e-18 1.438845e-17
1.072000e+02 1.531373e-17 1.913324e-18 1.340040e-17
1.082000e+02 1.512512e-17 1.940199e-18 1.318493e-17
1.092000e+02 1.434890e-17 1.438865e-18 1.291003e-17
1.102000e+02 1.573079e-17 3.209483e-18 1.252131e-17
1.112000e+02 1.514858e-17 3.264967e-18 1.188362e-17
1.122000e+02 1.576480e-17 4.687061e-18 1.107774e-17
1.132000e+02 1.641700e-17 6.534195e-18 9.882805e-18
1.142000e+02 1.657140e-17 1.326488e-17 3.306523e-18
1.152000e+02 1.644858e-17 1.638917e-17 5.940310e-20
1.162000e+02 1.719482e-17 1.719482e-17 0.000000e+00
1.172000e+02 1.267888e-17 1.267888e-17 0.000000e+00
1.182000e+02 1.302997e-17 1.302997e-17 0.000000e+00
1.192000e+02 2.012112e-17 2.012112e-17 0.000000e+00
1.202000e+02 7.474962e-18 7.474962e-18 0.000000e+00
1.212000e+02 8.894768e-18 8.894768e-18 0.000000e+00
1.222000e+02 2.993500e-17 2.993500e-17 0.000000e+00
1.232000e+02 8.211327e-18 8.211327e-18 0.000000e+00
1.242000e+02 9.032870e-18 9.032870e-18 0.000000e+00
1.252000e+02 8.683782e-18 8.683782e-18 0.000000e+00
1.262000e+02 1.378484e-17 1.378484e-17 0.000000e+00
1.272000e+02 1.073845e-17 1.073845e-17 0.000000e+00
1.282000e+02 1.659465e-17 1.659465e-17 0.000000e+00
1.292000e+02 2.764978e-17 2.764978e-17 0.000000e+00
1.302000e+02 1.025513e-17 1.025513e-17 0.000000e+00
1.312000e+02 6.931155e-18 6.931155e-18 0.000000e+00
1.322000e+02 5.917666e-18 5.917666e-18 0.000000e+00
1.332000e+02 2.795631e-18 2.795631e-18 0.000000e+00
1.342000e+02 1.059767e-17 1.059767e-17 0.000000e+00
1.352000e+02 1.859605e-17 1.859605e-17 0.000000e+00
1.362000e+02 1.089779e-17 1.089779e-17 0.000000e+00
1.372000e+02 2.606983e-17 2.606983e-17 0.000000e+00
1.382000e+02 9.596983e-18 9.596983e-18 0.000000e+00
1.392000e+02 1.058983e-17 1.058983e-17 0.000000e+00
1.402000e+02 1.156668e-17 1.156668e-17 0.000000e+00
1.412000e+02 5.572242e-18 5.572242e-18 0.000000e+00
1.422000e+02 6.745136e-18 6.745136e-18 0.000000e+00
1.432000e+02 4.960821e-18 4.960821e-18 0.000000e+00
1.442000e+02 4.719554e-18 4.719554e-18 0.000000e+00
1.452000e+02 3.028116e-18 3.028116e-18 0.000000e+00
1.462000e+02 3.052571e-18 3.052571e-18 0.000000e+00
1.472000e+02 5.337509e-18 5.337509e-18 0.000000e+00
1.482000e+02 3.650511e-18 3.650511e-18 0.000000e+00
1.492000e+02 5.223243e-18 5.223243e-18 0.000000e+00
1.502000e+02 2.147014e-17 2.147014e-17 0.000000e+00
1.512000e+02 5.931532e-18 5.931532e-18 0.000000e+00
1.522000e+02 4.703915e-17 4.703915e-17 0.000000e+00
1.532000e+02 1.891774e-17 1.891774e-17 0.000000e+00
1.542000e+02 7.736186e-18 7.736186e-18 0.000000e+00
1.552000e+02 9.477817e-18 9.477817e-18 0.000000e+00
1.562000e+02 2.152095e-18 2.152095e-18 0.000000e+00
1.572000e+02 2.665833e-19 2.665833e-19 0.000000e+00
1.582000e+02 2.665833e-19 2.665833e-19 0.000000e+00
1.592000e+02 2.665833e-19 2.665833e-19 0.000000e+00
1.602000e+02 2.665833e-19 2.665833e-19 0.000000e+00
1.612000e+02 2.665833e-19 2.665833e-19 0.000000e+00
1.622000e+02 2.665833e-19 2.665833e-19 0.000000e+00
1.632000e+02 2.665833e-19 2.665833e-19 0.000000e+00
1.642000e+02 2.665833e-19 2.665833e-19 0.000000e+00
1.652000e+02 2.665833e-19 2.665833e-19 0.000000e+00
1.662000e+02 2.665833e-19 2.665833e-19 0.000000e+00
1.672000e+02 5.599978e-19 5.599978e-19 0.000000e+00
1.682000e+02 2.063728e-18 2.063728e-18 0.000000e+00
1.692000e+02 1.066331e-18 1.066331e-18 0.000000e+00
1.702000e+02 1.681183e-18 1.681183e-18 0.000000e+00
1.712000e+02 3.479895e-18 3.479895e-18 0.000000e+00
1.722000e+02 1.069988e-17 1.069988e-17 0.000000e+00
1.732000e+02 1.250901e-17 1.250901e-17 0.000000e+00
1.742000e+02 2.139328e-17 2.139328e-17 0.000000e+00
1.752000e+02 4.610723e-17 4.610723e-17 0.000000e+00
1.762000e+02 1.949296e-18 1.949296e-18 0.000000e+00
1.772000e+02 7.259926e-19 7.259926e-19 0.000000e+00
1.782000e+02 6.188739e-19 6.188739e-19 0.000000e+00
1.792000e+02 5.117551e-19 5.117551e-19 0.000000e+00
1.802000e+02 4.046364e-19 4.046364e-19 0.000000e+00
1.812000e+02 2.975176e-19 2.975176e-19 0.000000e+00
1.822000e+02 1.903989e-19 1.903989e-19 0.000000e+00
1.832000e+02 8.328010e-20 8.328010e-20 0.000000e+00
1.842000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.852000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.862000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.872000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.882000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.892000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.902000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.912000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.922000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.932000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.942000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.952000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.962000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.972000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.982000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.992000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.002000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.012000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.022000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.032000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.042000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.052000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.062000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.072000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.082000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.092000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.102000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.112000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.122000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.132000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.142000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.152000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.162000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.172000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.182000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.192000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.202000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.212000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.222000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.232000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.242000e+02 5.702695e-23 5.702695e-23 0.000000e+00
2.252000e+02 1.456300e-22 1.456300e-22 0.000000e+00
2.262000e+02 1.718000e-22 1.718000e-22 0.000000e+00
2.272000e+02 1.507250e-22 1.507250e-22 0.000000e+00
2.282000e+02 1.888950e-22 1.888950e-22 0.000000e+00
2.292000e+02 1.884500e-22 1.884500e-22 0.000000e+00
2.302000e+02 2.110050e-22 2.110050e-22 0.000000e+00
2.312000e+02 3.641100e-22 3.641100e-22 0.000000e+00
2.322000e+02 2.976100e-22 2.976100e-22 0.000000e+00
2.332000e+02 2.865450e-22 2.865450e-22 0.000000e+00
2.342000e+02 3.068250e-22 3.068250e-22 0.000000e+00
2.352000e+02 3.780550e-22 3.780550e-22 0.000000e+00
2.362000e+02 6.502700e-22 6.502700e-22 0.000000e+00
