# H2O2 cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 3.014978e-17 0.000000e+00 3.014978e-17
9.220000e+01 2.898033e-17 0.000000e+00 2.898033e-17
9.320000e+01 2.698189e-17 0.000000e+00 2.698189e-17
9.420000e+01 2.475113e-17 0.000000e+00 2.475113e-17
9.520000e+01 2.308642e-17 0.000000e+00 2.308642e-17
9.620000e+01 2.181140e-17 0.000000e+00 2.181140e-17
9.720000e+01 2.051005e-17 0.000000e+00 2.051005e-17
9.820000e+01 1.913753e-17 0.000000e+00 1.913753e-17
9.920000e+01 1.707533e-17 0.000000e+00 1.707533e-17
1.002000e+02 1.487938e-17 0.000000e+00 1.487938e-17
1.012000e+02 1.294554e-17 0.000000e+00 1.294554e-17
1.022000e+02 1.156132e-17 0.000000e+00 1.156132e-17
1.032000e+02 1.002885e-17 0.000000e+00 1.002885e-17
1.042000e+02 8.912792e-18 0.000000e+00 8.912792e-18
1.052000e+02 8.023766e-18 0.000000e+00 8.023766e-18
1.062000e+02 8.836411e-18 1.790240e-18 7.046172e-18
1.072000e+02 9.534104e-18 3.675765e-18 5.858339e-18
1.082000e+02 9.673564e-18 4.884517e-18 4.789047e-18
1.092000e+02 9.829463e-18 6.041523e-18 3.787940e-18
1.102000e+02 9.993832e-18 7.147710e-18 2.846122e-18
1.112000e+02 1.019689e-17 8.272297e-18 1.924590e-18
1.122000e+02 1.037381e-17 9.010963e-18 1.362850e-18
1.132000e+02 1.053068e-17 9.546953e-18 9.837294e-19
1.142000e+02 1.061437e-17 1.002677e-17 5.876024e-19
1.152000e+02 1.064691e-17 1.032903e-17 3.178844e-19
1.162000e+02 1.064917e-17 1.051701e-17 1.321567e-19
1.172000e+02 1.057519e-17 1.054501e-17 3.018253e-20
1.182000e+02 1.037619e-17 1.037096e-17 5.226992e-21
1.192000e+02 1.017294e-17 1.017294e-17 0.000000e+00
1.202000e+02 9.982155e-18 9.982155e-18 0.000000e+00
1.212000e+02 9.757535e-18 9.757535e-18 0.000000e+00
1.222000e+02 9.483971e-18 9.483971e-18 0.000000e+00
1.232000e+02 9.194118e-18 9.194118e-18 0.000000e+00
1.242000e+02 8.907548e-18 8.907548e-18 0.000000e+00
1.252000e+02 8.567606e-18 8.567606e-18 0.000000e+00
1.262000e+02 8.261792e-18 8.261792e-18 0.000000e+00
1.272000e+02 7.985436e-18 7.985436e-18 0.000000e+00
1.282000e+02 7.727949e-18 7.727949e-18 0.000000e+00
1.292000e+02 7.597216e-18 7.597216e-18 0.000000e+00
1.302000e+02 7.584367e-18 7.584367e-18 0.000000e+00
1.312000e+02 7.699818e-18 7.699818e-18 0.000000e+00
1.322000e+02 7.867375e-18 7.867375e-18 0.000000e+00
1.332000e+02 8.066351e-18 8.066351e-18 0.000000e+00
1.342000e+02 8.198879e-18 8.198879e-18 0.000000e+00
1.352000e+02 8.312270e-18 8.312270e-18 0.000000e+00
1.362000e+02 8.337020e-18 8.337020e-18 0.000000e+00
1.372000e+02 8.562627e-18 8.562627e-18 0.000000e+00
1.382000e+02 8.758145e-18 8.758145e-18 0.000000e+00
1.392000e+02 8.490912e-18 8.490912e-18 0.000000e+00
1.402000e+02 8.408985e-18 8.408985e-18 0.000000e+00
1.412000e+02 8.269460e-18 8.269460e-18 0.000000e+00
1.422000e+02 7.829086e-18 7.829086e-18 0.000000e+00
1.432000e+02 6.837957e-18 6.837957e-18 0.000000e+00
1.442000e+02 6.907610e-18 6.907610e-18 0.000000e+00
1.452000e+02 6.253369e-18 6.253369e-18 0.000000e+00
1.462000e+02 5.106868e-18 5.106868e-18 0.000000e+00
1.472000e+02 5.192568e-18 5.192568e-18 0.000000e+00
1.482000e+02 4.442297e-18 4.442297e-18 0.000000e+00
1.492000e+02 4.074258e-18 4.074258e-18 0.000000e+00
1.502000e+02 4.005016e-18 4.005016e-18 0.000000e+00
1.512000e+02 3.045712e-18 3.045712e-18 0.000000e+00
1.522000e+02 2.873761e-18 2.873761e-18 0.000000e+00
1.532000e+02 2.663084e-18 2.663084e-18 0.000000e+00
1.542000e+02 2.264434e-18 2.264434e-18 0.000000e+00
1.552000e+02 1.908057e-18 1.908057e-18 0.000000e+00
1.562000e+02 1.956192e-18 1.956192e-18 0.000000e+00
1.572000e+02 1.582532e-18 1.582532e-18 0.000000e+00
1.582000e+02 1.363883e-18 1.363883e-18 0.000000e+00
1.592000e+02 1.288483e-18 1.288483e-18 0.000000e+00
1.602000e+02 1.565548e-18 1.565548e-18 0.000000e+00
1.612000e+02 1.301131e-18 1.301131e-18 0.000000e+00
1.622000e+02 1.101600e-18 1.101600e-18 0.000000e+00
1.632000e+02 1.242600e-18 1.242600e-18 0.000000e+00
1.642000e+02 1.135108e-18 1.135108e-18 0.000000e+00
1.652000e+02 1.230906e-18 1.230906e-18 0.000000e+00
1.662000e+02 1.189521e-18 1.189521e-18 0.000000e+00
1.672000e+02 1.297707e-18 1.297707e-18 0.000000e+00
1.682000e+02 1.128792e-18 1.128792e-18 0.000000e+00
1.692000e+02 1.109422e-18 1.109422e-18 0.000000e+00
1.702000e+02 1.065416e-18 1.065416e-18 0.000000e+00
1.712000e+02 1.064550e-18 1.064550e-18 0.000000e+00
1.722000e+02 1.092777e-18 1.092777e-18 0.000000e+00
1.732000e+02 1.155254e-18 1.155254e-18 0.000000e+00
1.742000e+02 1.215271e-18 1.215271e-18 0.000000e+00
1.752000e+02 1.244502e-18 1.244502e-18 0.000000e+00
1.762000e+02 1.288213e-18 1.288213e-18 0.000000e+00
1.772000e+02 1.316981e-18 1.316981e-18 0.000000e+00
1.782000e+02 1.342085e-18 1.342085e-18 0.000000e+00
1.792000e+02 1.365336e-18 1.365336e-18 0.000000e+00
1.802000e+02 1.364466e-18 1.364466e-18 0.000000e+00
1.812000e+02 1.320323e-18 1.320323e-18 0.000000e+00
1.822000e+02 1.238781e-18 1.238781e-18 0.000000e+00
1.832000e+02 1.088410e-18 1.088410e-18 0.000000e+00
1.842000e+02 9.581106e-19 9.581106e-19 0.000000e+00
1.852000e+02 8.599864e-19 8.599864e-19 0.000000e+00
1.862000e+02 7.835048e-19 7.835048e-19 0.000000e+00
1.872000e+02 7.373260e-19 7.373260e-19 0.000000e+00
1.882000e+02 7.223561e-19 7.223561e-19 0.000000e+00
1.892000e+02 6.756756e-19 6.756756e-19 0.000000e+00
1.902000e+02 6.594767e-19 6.594767e-19 0.000000e+00
1.912000e+02 6.360655e-19 6.360655e-19 0.000000e+00
1.922000e+02 6.091661e-19 6.091661e-19 0.000000e+00
1.932000e+02 5.966130e-19 5.966130e-19 0.000000e+00
1.942000e+02 5.790502e-19 5.790502e-19 0.000000e+00
1.952000e+02 5.617200e-19 5.617200e-19 0.000000e+00
1.962000e+02 5.453200e-19 5.453200e-19 0.000000e+00
1.972000e+02 5.289200e-19 5.289200e-19 0.000000e+00
1.982000e+02 5.125200e-19 5.125200e-19 0.000000e+00
1.992000e+02 4.961200e-19 4.961200e-19 0.000000e+00
2.002000e+02 4.805200e-19 4.805200e-19 0.000000e+00
2.012000e+02 4.681200e-19 4.681200e-19 0.000000e+00
2.022000e+02 4.557200e-19 4.557200e-19 0.000000e+00
2.032000e+02 4.433200e-19 4.433200e-19 0.000000e+00
2.042000e+02 4.309200e-19 4.309200e-19 0.000000e+00
2.052000e+02 4.186800e-19 4.186800e-19 0.000000e+00
2.062000e+02 4.070800e-19 4.070800e-19 0.000000e+00
2.072000e+02 3.954800e-19 3.954800e-19 0.000000e+00
2.082000e+02 3.838800e-19 3.838800e-19 0.000000e+00
2.092000e+02 3.722800e-19 3.722800e-19 0.000000e+00
2.102000e+02 3.609200e-19 3.609200e-19 0.000000e+00
2.112000e+02 3.505200e-19 3.505200e-19 0.000000e+00
2.122000e+02 3.401200e-19 3.401200e-19 0.000000e+00
2.132000e+02 3.297200e-19 3.297200e-19 0.000000e+00
2.142000e+02 3.193200e-19 3.193200e-19 0.000000e+00
2.152000e+02 3.091200e-19 3.091200e-19 0.000000e+00
2.162000e+02 2.997200e-19 2.997200e-19 0.000000e+00
2.172000e+02 2.903200e-19 2.903200e-19 0.000000e+00
2.182000e+02 2.809200e-19 2.809200e-19 0.000000e+00
2.192000e+02 2.715200e-19 2.715200e-19 0.000000e+00
2.202000e+02 2.622800e-19 2.622800e-19 0.000000e+00
2.212000e+02 2.536800e-19 2.536800e-19 0.000000e+00
2.222000e+02 2.450800e-19 2.450800e-19 0.000000e+00
2.232000e+02 2.364800e-19 2.364800e-19 0.000000e+00
2.242000e+02 2.278800e-19 2.278800e-19 0.000000e+00
2.252000e+02 2.196400e-19 2.196400e-19 0.000000e+00
2.262000e+02 2.128400e-19 2.128400e-19 0.000000e+00
2.272000e+02 2.060400e-19 2.060400e-19 0.000000e+00
2.282000e+02 1.992400e-19 1.992400e-19 0.000000e+00
2.292000e+02 1.924400e-19 1.924400e-19 0.000000e+00
2.302000e+02 1.857600e-19 1.857600e-19 0.000000e+00
2.312000e+02 1.795600e-19 1.795600e-19 0.000000e+00
2.322000e+02 1.733600e-19 1.733600e-19 0.000000e+00
2.332000e+02 1.671600e-19 1.671600e-19 0.000000e+00
2.342000e+02 1.609600e-19 1.609600e-19 0.000000e+00
2.352000e+02 1.549200e-19 1.549200e-19 0.000000e+00
2.362000e+02 1.495200e-19 1.495200e-19 0.000000e+00
2.372000e+02 1.441200e-19 1.441200e-19 0.000000e+00
2.382000e+02 1.387200e-19 1.387200e-19 0.000000e+00
2.392000e+02 1.333200e-19 1.333200e-19 0.000000e+00
2.402000e+02 1.281200e-19 1.281200e-19 0.000000e+00
2.412000e+02 1.237200e-19 1.237200e-19 0.000000e+00
2.422000e+02 1.193200e-19 1.193200e-19 0.000000e+00
2.432000e+02 1.149200e-19 1.149200e-19 0.000000e+00
2.442000e+02 1.105200e-19 1.105200e-19 0.000000e+00
2.452000e+02 1.062800e-19 1.062800e-19 0.000000e+00
2.462000e+02 1.026800e-19 1.026800e-19 0.000000e+00
2.472000e+02 9.908000e-20 9.908000e-20 0.000000e+00
2.482000e+02 9.548000e-20 9.548000e-20 0.000000e+00
2.492000e+02 9.188000e-20 9.188000e-20 0.000000e+00
2.502000e+02 8.832000e-20 8.832000e-20 0.000000e+00
2.512000e+02 8.492000e-20 8.492000e-20 0.000000e+00
2.522000e+02 8.152000e-20 8.152000e-20 0.000000e+00
2.532000e+02 7.812000e-20 7.812000e-20 0.000000e+00
2.542000e+02 7.472000e-20 7.472000e-20 0.000000e+00
2.552000e+02 7.132000e-20 7.132000e-20 0.000000e+00
2.562000e+02 6.792000e-20 6.792000e-20 0.000000e+00
2.572000e+02 6.452000e-20 6.452000e-20 0.000000e+00
2.582000e+02 6.112000e-20 6.112000e-20 0.000000e+00
2.592000e+02 5.772000e-20 5.772000e-20 0.000000e+00
2.602000e+02 5.500000e-20 5.500000e-20 0.000000e+00
2.612000e+02 5.500000e-20 5.500000e-20 0.000000e+00
2.622000e+02 5.500000e-20 5.500000e-20 0.000000e+00
2.632000e+02 5.500000e-20 5.500000e-20 0.000000e+00
2.642000e+02 5.500000e-20 5.500000e-20 0.000000e+00
2.652000e+02 5.416000e-20 5.416000e-20 0.000000e+00
2.662000e+02 4.996000e-20 4.996000e-20 0.000000e+00
2.672000e+02 4.576000e-20 4.576000e-20 0.000000e+00
2.682000e+02 4.156000e-20 4.156000e-20 0.000000e+00
2.692000e+02 3.736000e-20 3.736000e-20 0.000000e+00
2.702000e+02 3.372000e-20 3.372000e-20 0.000000e+00
2.712000e+02 3.232000e-20 3.232000e-20 0.000000e+00
2.722000e+02 3.092000e-20 3.092000e-20 0.000000e+00
2.732000e+02 2.952000e-20 2.952000e-20 0.000000e+00
2.742000e+02 2.812000e-20 2.812000e-20 0.000000e+00
2.752000e+02 2.676000e-20 2.676000e-20 0.000000e+00
2.762000e+02 2.556000e-20 2.556000e-20 0.000000e+00
2.772000e+02 2.436000e-20 2.436000e-20 0.000000e+00
2.782000e+02 2.316000e-20 2.316000e-20 0.000000e+00
2.792000e+02 2.196000e-20 2.196000e-20 0.000000e+00
2.802000e+02 2.076000e-20 2.076000e-20 0.000000e+00
2.812000e+02 1.956000e-20 1.956000e-20 0.000000e+00
2.822000e+02 1.836000e-20 1.836000e-20 0.000000e+00
2.832000e+02 1.716000e-20 1.716000e-20 0.000000e+00
2.842000e+02 1.596000e-20 1.596000e-20 0.000000e+00
2.852000e+02 1.485600e-20 1.485600e-20 0.000000e+00
2.862000e+02 1.413600e-20 1.413600e-20 0.000000e+00
2.872000e+02 1.341600e-20 1.341600e-20 0.000000e+00
2.882000e+02 1.269600e-20 1.269600e-20 0.000000e+00
2.892000e+02 1.197600e-20 1.197600e-20 0.000000e+00
2.902000e+02 1.129200e-20 1.129200e-20 0.000000e+00
2.912000e+02 1.075200e-20 1.075200e-20 0.000000e+00
2.922000e+02 1.021200e-20 1.021200e-20 0.000000e+00
2.932000e+02 9.672000e-21 9.672000e-21 0.000000e+00
2.942000e+02 9.132000e-21 9.132000e-21 0.000000e+00
2.952000e+02 8.616000e-21 8.616000e-21 0.000000e+00
2.962000e+02 8.196000e-21 8.196000e-21 0.000000e+00
2.972000e+02 7.776000e-21 7.776000e-21 0.000000e+00
2.982000e+02 7.356000e-21 7.356000e-21 0.000000e+00
2.992000e+02 6.936000e-21 6.936000e-21 0.000000e+00
3.002000e+02 6.532000e-21 6.532000e-21 0.000000e+00
3.012000e+02 6.192000e-21 6.192000e-21 0.000000e+00
3.022000e+02 5.852000e-21 5.852000e-21 0.000000e+00
3.032000e+02 5.512000e-21 5.512000e-21 0.000000e+00
3.042000e+02 5.172000e-21 5.172000e-21 0.000000e+00
3.052000e+02 4.856000e-21 4.856000e-21 0.000000e+00
3.062000e+02 4.636000e-21 4.636000e-21 0.000000e+00
3.072000e+02 4.416000e-21 4.416000e-21 0.000000e+00
3.082000e+02 4.196000e-21 4.196000e-21 0.000000e+00
3.092000e+02 3.976000e-21 3.976000e-21 0.000000e+00
3.102000e+02 3.760000e-21 3.760000e-21 0.000000e+00
3.112000e+02 3.560000e-21 3.560000e-21 0.000000e+00
3.122000e+02 3.360000e-21 3.360000e-21 0.000000e+00
3.132000e+02 3.160000e-21 3.160000e-21 0.000000e+00
3.142000e+02 2.960000e-21 2.960000e-21 0.000000e+00
3.152000e+02 2.772000e-21 2.772000e-21 0.000000e+00
3.162000e+02 2.632000e-21 2.632000e-21 0.000000e+00
3.172000e+02 2.492000e-21 2.492000e-21 0.000000e+00
3.182000e+02 2.352000e-21 2.352000e-21 0.000000e+00
3.192000e+02 2.212000e-21 2.212000e-21 0.000000e+00
3.202000e+02 2.080000e-21 2.080000e-21 0.000000e+00
3.212000e+02 1.980000e-21 1.980000e-21 0.000000e+00
3.222000e+02 1.880000e-21 1.880000e-21 0.000000e+00
3.232000e+02 1.780000e-21 1.780000e-21 0.000000e+00
3.242000e+02 1.680000e-21 1.680000e-21 0.000000e+00
3.252000e+02 1.588000e-21 1.588000e-21 0.000000e+00
3.262000e+02 1.528000e-21 1.528000e-21 0.000000e+00
3.272000e+02 1.468000e-21 1.468000e-21 0.000000e+00
3.282000e+02 1.408000e-21 1.408000e-21 0.000000e+00
3.292000e+02 1.348000e-21 1.348000e-21 0.000000e+00
3.302000e+02 1.292000e-21 1.292000e-21 0.000000e+00
3.312000e+02 1.252000e-21 1.252000e-21 0.000000e+00
3.322000e+02 1.212000e-21 1.212000e-21 0.000000e+00
3.332000e+02 1.172000e-21 1.172000e-21 0.000000e+00
3.342000e+02 1.132000e-21 1.132000e-21 0.000000e+00
3.352000e+02 1.088000e-21 1.088000e-21 0.000000e+00
3.362000e+02 1.028000e-21 1.028000e-21 0.000000e+00
3.372000e+02 9.680000e-22 9.680000e-22 0.000000e+00
3.382000e+02 9.080000e-22 9.080000e-22 0.000000e+00
3.392000e+02 8.480000e-22 8.480000e-22 0.000000e+00
3.402000e+02 7.920000e-22 7.920000e-22 0.000000e+00
3.412000e+02 7.520000e-22 7.520000e-22 0.000000e+00
3.422000e+02 7.120000e-22 7.120000e-22 0.000000e+00
3.432000e+02 6.720000e-22 6.720000e-22 0.000000e+00
3.442000e+02 6.320000e-22 6.320000e-22 0.000000e+00
3.452000e+02 5.920000e-22 5.920000e-22 0.000000e+00
3.462000e+02 5.520000e-22 5.520000e-22 0.000000e+00
3.472000e+02 5.120000e-22 5.120000e-22 0.000000e+00
3.482000e+02 4.720000e-22 4.720000e-22 0.000000e+00
3.492000e+02 4.320000e-22 4.320000e-22 0.000000e+00
3.502000e+02 0.000000e+00 0.000000e+00 0.000000e+00
3.512000e+02 0.000000e+00 0.000000e+00 0.000000e+00
3.522000e+02 0.000000e+00 0.000000e+00 0.000000e+00
3.532000e+02 0.000000e+00 0.000000e+00 0.000000e+00
3.542000e+02 0.000000e+00 0.000000e+00 0.000000e+00
3.552000e+02 0.000000e+00 0.000000e+00 0.000000e+00
3.562000e+02 0.000000e+00 0.000000e+00 0.000000e+00
3.572000e+02 0.000000e+00 0.000000e+00 0.000000e+00
3.582000e+02 0.000000e+00 0.000000e+00 0.000000e+00
3.592000e+02 0.000000e+00 0.000000e+00 0.000000e+00
3.602000e+02 0.000000e+00 0.000000e+00 0.000000e+00
3.612000e+02 0.000000e+00 0.000000e+00 0.000000e+00
3.622000e+02 0.000000e+00 0.000000e+00 0.000000e+00
3.632000e+02 0.000000e+00 0.000000e+00 0.000000e+00
