# HCl cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 2.249840e-17 1.062932e-17 1.186908e-17
9.220000e+01 2.310219e-17 1.180510e-17 1.129709e-17
9.320000e+01 2.545071e-17 1.430203e-17 1.114869e-17
9.420000e+01 2.827072e-17 1.628939e-17 1.198133e-17
9.520000e+01 3.098175e-17 1.950401e-17 1.147774e-17
9.620000e+01 3.755520e-17 2.400891e-17 1.354629e-17
9.720000e+01 4.114076e-17 2.622915e-17 1.491161e-17
9.820000e+01 4.739679e-17 4.739679e-17 0.000000e+00
9.920000e+01 4.276875e-17 4.276875e-17 0.000000e+00
1.002000e+02 4.983333e-17 4.983333e-17 0.000000e+00
1.012000e+02 9.363000e-17 9.363000e-17 0.000000e+00
1.022000e+02 1.245845e-17 1.245845e-17 0.000000e+00
1.032000e+02 3.229363e-17 3.229363e-17 0.000000e+00
1.042000e+02 3.316545e-17 3.316545e-17 0.000000e+00
1.052000e+02 1.339978e-17 1.339978e-17 0.000000e+00
1.062000e+02 4.745538e-18 4.745538e-18 0.000000e+00
1.072000e+02 3.698473e-17 3.698473e-17 0.000000e+00
1.082000e+02 1.642096e-17 1.642096e-17 0.000000e+00
1.092000e+02 1.391781e-17 1.391781e-17 0.000000e+00
1.102000e+02 2.692408e-16 2.692408e-16 0.000000e+00
1.112000e+02 4.888020e-17 4.888020e-17 0.000000e+00
1.122000e+02 1.297088e-17 1.297088e-17 0.000000e+00
1.132000e+02 1.723000e-18 1.723000e-18 0.000000e+00
1.142000e+02 4.846952e-19 4.846952e-19 0.000000e+00
1.152000e+02 7.145159e-19 7.145159e-19 0.000000e+00
1.162000e+02 7.430119e-19 7.430119e-19 0.000000e+00
1.172000e+02 2.162333e-18 2.162333e-18 0.000000e+00
1.182000e+02 6.357327e-19 6.357327e-19 0.000000e+00
1.192000e+02 1.856579e-18 1.856579e-18 0.000000e+00
1.202000e+02 2.667828e-18 2.667828e-18 0.000000e+00
1.212000e+02 2.226364e-18 2.226364e-18 0.000000e+00
1.222000e+02 7.191733e-19 7.191733e-19 0.000000e+00
1.232000e+02 6.749667e-19 6.749667e-19 0.000000e+00
1.242000e+02 1.621788e-17 1.621788e-17 0.000000e+00
1.252000e+02 3.659134e-18 3.659134e-18 0.000000e+00
1.262000e+02 6.718713e-19 6.718713e-19 0.000000e+00
1.272000e+02 1.865450e-18 1.865450e-18 0.000000e+00
1.282000e+02 3.522970e-17 3.522970e-17 0.000000e+00
1.292000e+02 1.281116e-16 1.281116e-16 0.000000e+00
1.302000e+02 4.014095e-18 4.014095e-18 0.000000e+00
1.312000e+02 1.545727e-18 1.545727e-18 0.000000e+00
1.322000e+02 1.893823e-18 1.893823e-18 0.000000e+00
1.332000e+02 3.656692e-18 3.656692e-18 0.000000e+00
1.342000e+02 1.398441e-18 1.398441e-18 0.000000e+00
1.352000e+02 1.256448e-18 1.256448e-18 0.000000e+00
1.362000e+02 1.372448e-18 1.372448e-18 0.000000e+00
1.372000e+02 1.488448e-18 1.488448e-18 0.000000e+00
1.382000e+02 1.674336e-18 1.674336e-18 0.000000e+00
1.392000e+02 1.886336e-18 1.886336e-18 0.000000e+00
1.402000e+02 2.080096e-18 2.080096e-18 0.000000e+00
1.412000e+02 2.212096e-18 2.212096e-18 0.000000e+00
1.422000e+02 2.344096e-18 2.344096e-18 0.000000e+00
1.432000e+02 2.499392e-18 2.499392e-18 0.000000e+00
1.442000e+02 2.663392e-18 2.663392e-18 0.000000e+00
1.452000e+02 2.819184e-18 2.819184e-18 0.000000e+00
1.462000e+02 2.947184e-18 2.947184e-18 0.000000e+00
1.472000e+02 3.075184e-18 3.075184e-18 0.000000e+00
1.482000e+02 3.176976e-18 3.176976e-18 0.000000e+00
1.492000e+02 3.268976e-18 3.268976e-18 0.000000e+00
1.502000e+02 3.347296e-18 3.347296e-18 0.000000e+00
1.512000e+02 3.379296e-18 3.379296e-18 0.000000e+00
1.522000e+02 3.411296e-18 3.411296e-18 0.000000e+00
1.532000e+02 3.422912e-18 3.422912e-18 0.000000e+00
1.542000e+02 3.426912e-18 3.426912e-18 0.000000e+00
1.552000e+02 3.415408e-18 3.415408e-18 0.000000e+00
1.562000e+02 3.351408e-18 3.351408e-18 0.000000e+00
1.572000e+02 3.287408e-18 3.287408e-18 0.000000e+00
1.582000e+02 3.208848e-18 3.208848e-18 0.000000e+00
1.592000e+02 3.124848e-18 3.124848e-18 0.000000e+00
1.602000e+02 3.029904e-18 3.029904e-18 0.000000e+00
1.612000e+02 2.897904e-18 2.897904e-18 0.000000e+00
1.622000e+02 2.765904e-18 2.765904e-18 0.000000e+00
1.632000e+02 2.633904e-18 2.633904e-18 0.000000e+00
1.642000e+02 2.501904e-18 2.501904e-18 0.000000e+00
1.652000e+02 2.362608e-18 2.362608e-18 0.000000e+00
1.662000e+02 2.198608e-18 2.198608e-18 0.000000e+00
1.672000e+02 2.034608e-18 2.034608e-18 0.000000e+00
1.682000e+02 1.885168e-18 1.885168e-18 0.000000e+00
1.692000e+02 1.741168e-18 1.741168e-18 0.000000e+00
1.702000e+02 1.605376e-18 1.605376e-18 0.000000e+00
1.712000e+02 1.497376e-18 1.497376e-18 0.000000e+00
1.722000e+02 1.389376e-18 1.389376e-18 0.000000e+00
1.732000e+02 1.272640e-18 1.272640e-18 0.000000e+00
1.742000e+02 1.152640e-18 1.152640e-18 0.000000e+00
1.752000e+02 1.035923e-18 1.035923e-18 0.000000e+00
1.762000e+02 9.303232e-19 9.303232e-19 0.000000e+00
1.772000e+02 8.247232e-19 8.247232e-19 0.000000e+00
1.782000e+02 7.357216e-19 7.357216e-19 0.000000e+00
1.792000e+02 6.529216e-19 6.529216e-19 0.000000e+00
1.802000e+02 5.738608e-19 5.738608e-19 0.000000e+00
1.812000e+02 5.074608e-19 5.074608e-19 0.000000e+00
1.822000e+02 4.410608e-19 4.410608e-19 0.000000e+00
1.832000e+02 3.854352e-19 3.854352e-19 0.000000e+00
1.842000e+02 3.338352e-19 3.338352e-19 0.000000e+00
1.852000e+02 2.857008e-19 2.857008e-19 0.000000e+00
1.862000e+02 2.493008e-19 2.493008e-19 0.000000e+00
1.872000e+02 2.129008e-19 2.129008e-19 0.000000e+00
1.882000e+02 1.840720e-19 1.840720e-19 0.000000e+00
1.892000e+02 1.580720e-19 1.580720e-19 0.000000e+00
1.902000e+02 1.344250e-19 1.344250e-19 0.000000e+00
1.912000e+02 1.187450e-19 1.187450e-19 0.000000e+00
1.922000e+02 1.030650e-19 1.030650e-19 0.000000e+00
1.932000e+02 8.738496e-20 8.738496e-20 0.000000e+00
1.942000e+02 7.170496e-20 7.170496e-20 0.000000e+00
1.952000e+02 5.797208e-20 5.797208e-20 0.000000e+00
