# NH cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 7.439928e-18 0.000000e+00 7.439928e-18
9.220000e+01 2.192841e-20 2.192841e-20 0.000000e+00
9.320000e+01 1.107870e-19 1.107870e-19 0.000000e+00
9.420000e+01 4.483873e-19 4.483873e-19 0.000000e+00
9.520000e+01 1.453788e-18 1.453788e-18 0.000000e+00
9.620000e+01 3.776006e-18 3.776006e-18 0.000000e+00
9.720000e+01 7.856853e-18 7.856853e-18 0.000000e+00
9.820000e+01 1.309633e-17 1.309633e-17 0.000000e+00
9.920000e+01 1.748785e-17 1.748785e-17 0.000000e+00
1.002000e+02 1.870722e-17 1.870722e-17 0.000000e+00
1.012000e+02 1.603132e-17 1.603132e-17 0.000000e+00
1.022000e+02 1.100569e-17 1.100569e-17 0.000000e+00
1.032000e+02 6.052760e-18 6.052760e-18 0.000000e+00
1.042000e+02 2.666730e-18 2.666730e-18 0.000000e+00
1.052000e+02 9.412278e-19 9.412278e-19 0.000000e+00
1.062000e+02 2.661346e-19 2.661346e-19 0.000000e+00
1.072000e+02 6.028370e-20 6.028370e-20 0.000000e+00
1.082000e+02 1.093934e-20 1.093934e-20 0.000000e+00
1.092000e+02 1.590289e-21 1.590289e-21 0.000000e+00
1.102000e+02 1.852063e-22 1.852063e-22 0.000000e+00
1.112000e+02 1.727950e-23 1.727950e-23 0.000000e+00
1.122000e+02 1.291527e-24 1.291527e-24 0.000000e+00
1.132000e+02 7.733455e-26 7.733455e-26 0.000000e+00
1.142000e+02 8.461399e-27 8.461399e-27 0.000000e+00
1.152000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.162000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.172000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.182000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.192000e+02 3.703040e-20 3.703040e-20 0.000000e+00
1.202000e+02 7.591515e-21 7.591515e-21 0.000000e+00
1.212000e+02 2.082053e-19 2.082053e-19 0.000000e+00
1.222000e+02 5.290964e-19 5.290964e-19 0.000000e+00
1.232000e+02 1.011486e-18 1.011486e-18 0.000000e+00
1.242000e+02 1.836847e-18 1.836847e-18 0.000000e+00
1.252000e+02 2.823791e-18 2.823791e-18 0.000000e+00
1.262000e+02 4.167972e-18 4.167972e-18 0.000000e+00
1.272000e+02 6.208249e-18 6.208249e-18 0.000000e+00
1.282000e+02 8.669470e-18 8.669470e-18 0.000000e+00
1.292000e+02 1.116171e-17 1.116171e-17 0.000000e+00
1.302000e+02 1.392213e-17 1.392213e-17 0.000000e+00
1.312000e+02 1.590407e-17 1.590407e-17 0.000000e+00
1.322000e+02 1.608400e-17 1.608400e-17 0.000000e+00
1.332000e+02 1.490270e-17 1.490270e-17 0.000000e+00
1.342000e+02 1.220827e-17 1.220827e-17 0.000000e+00
1.352000e+02 1.028927e-17 1.028927e-17 0.000000e+00
1.362000e+02 9.205956e-18 9.205956e-18 0.000000e+00
1.372000e+02 8.688793e-18 8.688793e-18 0.000000e+00
1.382000e+02 8.487050e-18 8.487050e-18 0.000000e+00
1.392000e+02 8.541205e-18 8.541205e-18 0.000000e+00
1.402000e+02 8.609679e-18 8.609679e-18 0.000000e+00
1.412000e+02 8.574975e-18 8.574975e-18 0.000000e+00
1.422000e+02 8.335135e-18 8.335135e-18 0.000000e+00
1.432000e+02 7.949568e-18 7.949568e-18 0.000000e+00
1.442000e+02 7.248304e-18 7.248304e-18 0.000000e+00
1.452000e+02 6.509349e-18 6.509349e-18 0.000000e+00
1.462000e+02 5.567040e-18 5.567040e-18 0.000000e+00
1.472000e+02 4.717890e-18 4.717890e-18 0.000000e+00
1.482000e+02 3.895034e-18 3.895034e-18 0.000000e+00
1.492000e+02 3.094834e-18 3.094834e-18 0.000000e+00
1.502000e+02 2.415726e-18 2.415726e-18 0.000000e+00
1.512000e+02 1.840772e-18 1.840772e-18 0.000000e+00
1.522000e+02 1.432809e-18 1.432809e-18 0.000000e+00
1.532000e+02 1.089660e-18 1.089660e-18 0.000000e+00
1.542000e+02 8.313371e-19 8.313371e-19 0.000000e+00
1.552000e+02 6.199516e-19 6.199516e-19 0.000000e+00
1.562000e+02 4.470198e-19 4.470198e-19 0.000000e+00
1.572000e+02 3.037900e-19 3.037900e-19 0.000000e+00
1.582000e+02 1.496711e-19 1.496711e-19 0.000000e+00
1.592000e+02 7.109447e-20 7.109447e-20 0.000000e+00
1.602000e+02 3.800118e-20 3.800118e-20 0.000000e+00
1.612000e+02 7.426806e-20 7.426806e-20 0.000000e+00
1.622000e+02 7.621542e-20 7.621542e-20 0.000000e+00
1.632000e+02 7.813905e-20 7.813905e-20 0.000000e+00
1.642000e+02 6.439361e-20 6.439361e-20 0.000000e+00
1.652000e+02 4.934423e-21 4.934423e-21 0.000000e+00
1.662000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.672000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.682000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.692000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.702000e+02 8.919401e-58 4.459701e-58 0.000000e+00
1.712000e+02 3.144040e-57 1.572020e-57 0.000000e+00
1.722000e+02 5.396140e-57 2.698070e-57 0.000000e+00
1.732000e+02 7.648239e-57 3.824120e-57 0.000000e+00
1.742000e+02 9.900339e-57 4.950170e-57 0.000000e+00
1.752000e+02 1.215244e-56 6.076219e-57 0.000000e+00
1.762000e+02 1.440454e-56 7.202269e-57 0.000000e+00
1.772000e+02 1.665664e-56 8.328319e-57 0.000000e+00
1.782000e+02 1.890874e-56 9.454369e-57 0.000000e+00
1.792000e+02 2.116084e-56 1.058042e-56 0.000000e+00
1.802000e+02 2.341294e-56 1.170647e-56 0.000000e+00
1.812000e+02 2.566504e-56 1.283252e-56 0.000000e+00
1.822000e+02 2.791714e-56 1.395857e-56 0.000000e+00
1.832000e+02 3.016924e-56 1.508462e-56 0.000000e+00
1.842000e+02 3.242134e-56 1.621067e-56 0.000000e+00
1.852000e+02 3.467344e-56 1.733672e-56 0.000000e+00
1.862000e+02 3.692554e-56 1.846277e-56 0.000000e+00
1.872000e+02 3.917764e-56 1.958882e-56 0.000000e+00
1.882000e+02 4.142974e-56 2.071487e-56 0.000000e+00
1.892000e+02 4.368184e-56 2.184092e-56 0.000000e+00
1.902000e+02 4.593394e-56 2.296697e-56 0.000000e+00
1.912000e+02 4.818604e-56 2.409302e-56 0.000000e+00
1.922000e+02 5.043813e-56 2.521907e-56 0.000000e+00
1.932000e+02 5.269023e-56 2.634512e-56 0.000000e+00
1.942000e+02 5.494233e-56 2.747117e-56 0.000000e+00
1.952000e+02 5.719443e-56 2.859722e-56 0.000000e+00
1.962000e+02 5.944653e-56 2.972327e-56 0.000000e+00
1.972000e+02 6.169863e-56 3.084932e-56 0.000000e+00
1.982000e+02 6.395073e-56 3.197537e-56 0.000000e+00
1.992000e+02 6.620283e-56 3.310142e-56 0.000000e+00
2.002000e+02 6.845493e-56 3.422747e-56 0.000000e+00
2.012000e+02 7.070703e-56 3.535352e-56 0.000000e+00
2.022000e+02 7.295913e-56 3.647957e-56 0.000000e+00
2.032000e+02 7.521123e-56 3.760562e-56 0.000000e+00
2.042000e+02 7.746333e-56 3.873167e-56 0.000000e+00
2.052000e+02 7.971543e-56 3.985772e-56 0.000000e+00
2.062000e+02 8.196753e-56 4.098377e-56 0.000000e+00
2.072000e+02 8.421963e-56 4.210982e-56 0.000000e+00
2.082000e+02 8.647173e-56 4.323587e-56 0.000000e+00
2.092000e+02 8.872383e-56 4.436192e-56 0.000000e+00
2.102000e+02 9.097593e-56 4.548797e-56 0.000000e+00
2.112000e+02 9.322803e-56 4.661402e-56 0.000000e+00
2.122000e+02 9.548013e-56 4.774007e-56 0.000000e+00
2.132000e+02 9.773223e-56 4.886611e-56 0.000000e+00
2.142000e+02 9.998433e-56 4.999216e-56 0.000000e+00
2.152000e+02 1.022364e-55 5.111821e-56 0.000000e+00
2.162000e+02 1.044885e-55 5.224426e-56 0.000000e+00
2.172000e+02 1.067406e-55 5.337031e-56 0.000000e+00
2.182000e+02 1.089927e-55 5.449636e-56 0.000000e+00
2.192000e+02 1.112448e-55 5.562241e-56 0.000000e+00
2.202000e+02 1.134969e-55 5.674846e-56 0.000000e+00
2.212000e+02 1.157490e-55 5.787451e-56 0.000000e+00
2.222000e+02 1.180011e-55 5.900056e-56 0.000000e+00
2.232000e+02 1.202532e-55 6.012661e-56 0.000000e+00
2.242000e+02 1.225053e-55 6.125266e-56 0.000000e+00
2.252000e+02 1.247574e-55 6.237871e-56 0.000000e+00
2.262000e+02 1.270095e-55 6.350476e-56 0.000000e+00
2.272000e+02 1.292616e-55 6.463081e-56 0.000000e+00
2.282000e+02 1.315137e-55 6.575686e-56 0.000000e+00
2.292000e+02 1.337658e-55 6.688291e-56 0.000000e+00
2.302000e+02 1.360179e-55 6.800896e-56 0.000000e+00
2.312000e+02 1.382700e-55 6.913501e-56 0.000000e+00
2.322000e+02 1.405221e-55 7.026106e-56 0.000000e+00
2.332000e+02 1.427742e-55 7.138711e-56 0.000000e+00
2.342000e+02 1.450263e-55 7.251316e-56 0.000000e+00
2.352000e+02 1.472784e-55 7.363921e-56 0.000000e+00
2.362000e+02 1.495305e-55 7.476526e-56 0.000000e+00
2.372000e+02 1.517826e-55 7.589131e-56 0.000000e+00
2.382000e+02 1.540347e-55 7.701736e-56 0.000000e+00
2.392000e+02 1.562868e-55 7.814341e-56 0.000000e+00
2.402000e+02 1.585389e-55 7.926946e-56 0.000000e+00
2.412000e+02 1.607910e-55 8.039551e-56 0.000000e+00
2.422000e+02 1.630431e-55 8.152156e-56 0.000000e+00
2.432000e+02 1.652952e-55 8.264761e-56 0.000000e+00
2.442000e+02 1.675473e-55 8.377366e-56 0.000000e+00
2.452000e+02 1.697994e-55 8.489971e-56 0.000000e+00
2.462000e+02 1.720515e-55 8.602576e-56 0.000000e+00
2.472000e+02 1.743036e-55 8.715181e-56 0.000000e+00
2.482000e+02 1.765557e-55 8.827786e-56 0.000000e+00
2.492000e+02 1.788078e-55 8.940391e-56 0.000000e+00
2.502000e+02 4.098776e-55 2.049388e-55 0.000000e+00
2.512000e+02 3.448076e-51 1.724038e-51 0.000000e+00
2.522000e+02 1.548976e-47 7.744879e-48 0.000000e+00
2.532000e+02 3.689541e-44 1.844770e-44 0.000000e+00
2.542000e+02 4.563055e-41 2.281527e-41 0.000000e+00
2.552000e+02 3.616667e-38 1.808334e-38 0.000000e+00
2.562000e+02 1.550565e-35 7.752823e-36 0.000000e+00
2.572000e+02 3.540129e-33 1.770064e-33 0.000000e+00
2.582000e+02 5.164985e-31 2.582492e-31 0.000000e+00
2.592000e+02 4.070002e-29 2.035001e-29 0.000000e+00
2.602000e+02 2.026541e-27 1.013270e-27 0.000000e+00
2.612000e+02 5.842317e-26 2.921158e-26 0.000000e+00
2.622000e+02 1.018964e-24 5.094818e-25 0.000000e+00
2.632000e+02 1.111647e-23 5.558233e-24 0.000000e+00
2.642000e+02 7.450444e-23 3.725222e-23 0.000000e+00
2.652000e+02 3.124972e-22 1.562486e-22 0.000000e+00
2.662000e+02 8.304457e-22 4.152228e-22 0.000000e+00
2.672000e+02 1.412340e-21 7.061698e-22 0.000000e+00
2.682000e+02 1.551962e-21 7.759809e-22 0.000000e+00
2.692000e+02 1.112699e-21 5.563495e-22 0.000000e+00
2.702000e+02 5.255958e-22 2.627979e-22 0.000000e+00
2.712000e+02 1.649706e-22 8.248532e-23 0.000000e+00
2.722000e+02 3.460131e-23 1.730065e-23 0.000000e+00
2.732000e+02 4.939162e-24 2.469581e-24 0.000000e+00
2.742000e+02 4.828617e-25 2.414308e-25 0.000000e+00
2.752000e+02 3.190704e-26 1.595352e-26 0.000000e+00
2.762000e+02 1.502312e-27 7.511557e-28 0.000000e+00
2.772000e+02 4.848704e-29 2.420305e-29 0.000000e+00
2.782000e+02 8.210955e-30 5.611802e-31 0.000000e+00
2.792000e+02 4.131417e-28 8.928141e-33 0.000000e+00
