# NH2CHO cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 3.985574e-17 0.000000e+00 3.985574e-17
9.220000e+01 4.077951e-17 0.000000e+00 4.077951e-17
9.320000e+01 4.236600e-17 1.236339e-18 4.112966e-17
9.420000e+01 3.986868e-17 3.987144e-18 3.588154e-17
9.520000e+01 3.687927e-17 5.177616e-18 3.170165e-17
9.620000e+01 3.273579e-17 5.303680e-18 2.743211e-17
9.720000e+01 3.117964e-17 5.907955e-18 2.527169e-17
9.820000e+01 2.881768e-17 6.201178e-18 2.261650e-17
9.920000e+01 2.906996e-17 8.287353e-18 2.078260e-17
1.002000e+02 2.895829e-17 8.942193e-18 2.001610e-17
1.012000e+02 2.847905e-17 1.024187e-17 1.823718e-17
1.022000e+02 2.628623e-17 9.329338e-18 1.695689e-17
1.032000e+02 2.570465e-17 9.780229e-18 1.592442e-17
1.042000e+02 2.580023e-17 9.547399e-18 1.625283e-17
1.052000e+02 2.815974e-17 1.289677e-17 1.526297e-17
1.062000e+02 2.773108e-17 1.357445e-17 1.415662e-17
1.072000e+02 2.735243e-17 1.350520e-17 1.384723e-17
1.082000e+02 2.663988e-17 1.286524e-17 1.377464e-17
1.092000e+02 2.551240e-17 1.220152e-17 1.331088e-17
1.102000e+02 2.359842e-17 1.053744e-17 1.306098e-17
1.112000e+02 2.492073e-17 1.275750e-17 1.216323e-17
1.122000e+02 2.413738e-17 1.219904e-17 1.193834e-17
1.132000e+02 2.315641e-17 1.228043e-17 1.087597e-17
1.142000e+02 2.241888e-17 1.257850e-17 9.840377e-18
1.152000e+02 1.934030e-17 1.116350e-17 8.176807e-18
1.162000e+02 1.921235e-17 1.288009e-17 6.332266e-18
1.172000e+02 1.980822e-17 1.533943e-17 4.468783e-18
1.182000e+02 1.920694e-17 1.569504e-17 3.511896e-18
1.192000e+02 1.961527e-17 1.757845e-17 2.036818e-18
1.202000e+02 1.904934e-17 1.761164e-17 1.437706e-18
1.212000e+02 1.860464e-17 1.794991e-17 6.547315e-19
1.222000e+02 1.874149e-17 1.856912e-17 1.723690e-19
1.232000e+02 1.662199e-17 1.645480e-17 1.671911e-19
1.242000e+02 1.577020e-17 1.577020e-17 0.000000e+00
1.252000e+02 1.539566e-17 1.539566e-17 0.000000e+00
1.262000e+02 1.380374e-17 1.380374e-17 0.000000e+00
1.272000e+02 1.184679e-17 1.184679e-17 0.000000e+00
1.282000e+02 1.140673e-17 1.140673e-17 0.000000e+00
1.292000e+02 1.131171e-17 1.131171e-17 0.000000e+00
1.302000e+02 1.191247e-17 1.191247e-17 0.000000e+00
1.312000e+02 1.277728e-17 1.277728e-17 0.000000e+00
1.322000e+02 1.237863e-17 1.237863e-17 0.000000e+00
1.332000e+02 1.475998e-17 1.475998e-17 0.000000e+00
1.342000e+02 1.586362e-17 1.586362e-17 0.000000e+00
1.352000e+02 1.497496e-17 1.497496e-17 0.000000e+00
1.362000e+02 1.381621e-17 1.381621e-17 0.000000e+00
1.372000e+02 1.351791e-17 1.351791e-17 0.000000e+00
1.382000e+02 8.810906e-18 8.810906e-18 0.000000e+00
1.392000e+02 1.036005e-17 1.036005e-17 0.000000e+00
1.402000e+02 9.503468e-18 9.503468e-18 0.000000e+00
1.412000e+02 7.527376e-18 7.527376e-18 0.000000e+00
1.422000e+02 7.036064e-18 7.036064e-18 0.000000e+00
1.432000e+02 7.475333e-18 7.475333e-18 0.000000e+00
1.442000e+02 6.082202e-18 6.082202e-18 0.000000e+00
1.452000e+02 4.813275e-18 4.813275e-18 0.000000e+00
1.462000e+02 5.227986e-18 5.227986e-18 0.000000e+00
1.472000e+02 5.348723e-18 5.348723e-18 0.000000e+00
1.482000e+02 5.818814e-18 5.818814e-18 0.000000e+00
1.492000e+02 8.124244e-18 8.124244e-18 0.000000e+00
1.502000e+02 9.291442e-18 9.291442e-18 0.000000e+00
1.512000e+02 9.570876e-18 9.570876e-18 0.000000e+00
1.522000e+02 1.193835e-17 1.193835e-17 0.000000e+00
1.532000e+02 1.534767e-17 1.534767e-17 0.000000e+00
1.542000e+02 1.497976e-17 1.497976e-17 0.000000e+00
1.552000e+02 1.648395e-17 1.648395e-17 0.000000e+00
1.562000e+02 2.576250e-17 2.576250e-17 0.000000e+00
1.572000e+02 2.013087e-17 2.013087e-17 0.000000e+00
