# NO cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 2.842201e-17 1.802409e-17 1.039792e-17
9.220000e+01 3.056064e-17 1.661754e-17 1.394311e-17
9.320000e+01 2.595340e-17 2.038097e-17 5.572435e-18
9.420000e+01 3.743625e-17 1.737267e-17 2.006358e-17
9.520000e+01 1.398429e-17 7.013227e-18 6.971059e-18
9.620000e+01 1.847360e-17 9.703660e-18 8.769940e-18
9.720000e+01 2.186210e-17 1.124964e-17 1.061246e-17
9.820000e+01 2.710083e-17 7.846690e-18 1.925414e-17
9.920000e+01 1.794022e-17 8.872034e-18 9.068191e-18
1.002000e+02 2.710800e-17 1.108818e-17 1.601982e-17
1.012000e+02 1.564357e-17 5.737295e-18 9.906280e-18
1.022000e+02 2.343713e-17 1.028061e-17 1.315651e-17
1.032000e+02 1.470269e-17 5.402022e-18 9.300672e-18
1.042000e+02 1.691023e-17 6.319786e-18 1.059044e-17
1.052000e+02 1.257426e-17 5.005885e-18 7.568378e-18
1.062000e+02 9.274729e-18 3.092219e-18 6.182510e-18
1.072000e+02 6.782020e-18 2.292682e-18 4.489338e-18
1.082000e+02 1.003068e-17 2.369773e-18 7.660904e-18
1.092000e+02 5.372906e-18 1.132753e-18 4.240153e-18
1.102000e+02 4.296898e-18 6.725504e-19 3.624348e-18
1.112000e+02 5.617085e-18 9.554363e-19 4.661649e-18
1.122000e+02 3.654349e-18 6.793572e-19 2.974992e-18
1.132000e+02 3.023579e-18 2.380872e-19 2.785492e-18
1.142000e+02 3.441430e-18 8.216080e-19 2.619822e-18
1.152000e+02 3.245718e-18 3.852972e-19 2.860420e-18
1.162000e+02 2.759847e-18 2.686606e-19 2.491187e-18
1.172000e+02 2.955101e-18 5.266976e-19 2.428403e-18
1.182000e+02 2.491361e-18 2.575463e-19 2.233815e-18
1.192000e+02 2.510747e-18 3.025028e-19 2.208244e-18
1.202000e+02 2.306070e-18 3.524622e-19 1.953608e-18
1.212000e+02 2.411370e-18 3.134781e-19 2.097892e-18
1.222000e+02 2.620215e-18 3.812548e-19 2.238960e-18
1.232000e+02 2.344241e-18 6.073534e-19 1.736888e-18
1.242000e+02 2.164573e-18 4.542884e-19 1.710285e-18
1.252000e+02 2.248247e-18 6.779862e-19 1.570261e-18
1.262000e+02 2.122848e-18 7.638534e-19 1.358995e-18
1.272000e+02 2.299928e-18 1.195475e-18 1.104453e-18
1.282000e+02 2.415319e-18 1.298890e-18 1.116429e-18
1.292000e+02 1.990170e-18 1.016516e-18 9.736536e-19
1.302000e+02 1.924358e-18 1.316639e-18 6.077186e-19
1.312000e+02 2.467057e-18 1.961317e-18 5.057403e-19
1.322000e+02 3.134903e-18 2.661185e-18 4.737179e-19
1.332000e+02 2.628990e-18 2.144710e-18 4.842797e-19
1.342000e+02 1.680287e-18 1.579630e-18 1.006573e-19
1.352000e+02 2.176661e-18 2.176661e-18 0.000000e+00
1.362000e+02 3.497698e-18 3.497698e-18 0.000000e+00
1.372000e+02 2.699284e-18 2.699284e-18 0.000000e+00
1.382000e+02 2.649474e-18 2.649474e-18 0.000000e+00
1.392000e+02 2.956307e-18 2.956307e-18 0.000000e+00
1.402000e+02 3.231646e-18 3.231646e-18 0.000000e+00
1.412000e+02 3.117445e-18 3.117445e-18 0.000000e+00
1.422000e+02 3.178750e-18 3.178750e-18 0.000000e+00
1.432000e+02 2.151705e-18 2.151705e-18 0.000000e+00
1.442000e+02 4.048831e-18 4.048831e-18 0.000000e+00
1.452000e+02 4.543394e-18 4.543394e-18 0.000000e+00
1.462000e+02 2.413417e-18 2.413417e-18 0.000000e+00
1.472000e+02 2.043173e-18 2.043173e-18 0.000000e+00
1.482000e+02 3.139164e-18 3.139164e-18 0.000000e+00
1.492000e+02 3.813649e-18 3.813649e-18 0.000000e+00
1.502000e+02 3.857265e-18 3.857265e-18 0.000000e+00
1.512000e+02 1.069320e-18 1.069320e-18 0.000000e+00
1.522000e+02 2.459914e-18 2.459914e-18 0.000000e+00
1.532000e+02 1.446811e-18 1.446811e-18 0.000000e+00
1.542000e+02 1.942588e-18 1.942588e-18 0.000000e+00
1.552000e+02 3.373301e-18 3.373301e-18 0.000000e+00
1.562000e+02 1.443490e-18 1.443490e-18 0.000000e+00
1.572000e+02 8.930662e-19 8.930662e-19 0.000000e+00
1.582000e+02 1.446278e-18 1.446278e-18 0.000000e+00
1.592000e+02 4.112654e-19 4.112654e-19 0.000000e+00
1.602000e+02 1.175174e-18 1.175174e-18 0.000000e+00
1.612000e+02 1.785718e-18 1.785718e-18 0.000000e+00
1.622000e+02 1.388139e-18 1.388139e-18 0.000000e+00
1.632000e+02 6.072897e-19 6.072897e-19 0.000000e+00
1.642000e+02 7.139670e-19 7.139670e-19 0.000000e+00
1.652000e+02 2.608716e-25 8.855093e-26 0.000000e+00
1.662000e+02 5.518382e-21 3.766866e-21 0.000000e+00
1.672000e+02 1.737096e-20 8.811494e-21 0.000000e+00
1.682000e+02 8.112171e-25 5.957819e-25 0.000000e+00
1.692000e+02 2.784776e-18 2.784776e-18 0.000000e+00
1.702000e+02 7.013107e-25 5.084295e-25 0.000000e+00
1.712000e+02 1.873718e-19 1.873714e-19 0.000000e+00
1.722000e+02 5.244762e-22 3.174438e-22 0.000000e+00
1.732000e+02 2.512749e-18 4.107051e-19 0.000000e+00
1.742000e+02 1.840314e-24 9.273320e-25 0.000000e+00
1.752000e+02 2.119880e-17 2.119880e-17 0.000000e+00
1.762000e+02 2.102905e-17 2.102905e-17 0.000000e+00
1.772000e+02 3.248895e-22 3.246301e-22 0.000000e+00
1.782000e+02 1.690514e-24 1.187573e-24 0.000000e+00
1.792000e+02 6.007661e-20 6.007371e-20 0.000000e+00
1.802000e+02 3.192867e-18 2.942984e-19 0.000000e+00
1.812000e+02 2.056451e-24 1.081900e-24 0.000000e+00
1.822000e+02 8.125791e-21 8.125449e-21 0.000000e+00
1.832000e+02 9.502920e-18 9.502920e-18 0.000000e+00
1.842000e+02 2.427653e-24 2.187500e-24 0.000000e+00
1.852000e+02 4.017412e-20 3.924982e-20 0.000000e+00
