# O3 cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 1.234152e-17 0.000000e+00 1.234152e-17
9.220000e+01 1.190459e-17 0.000000e+00 1.190459e-17
9.320000e+01 1.109559e-17 7.330265e-20 1.102229e-17
9.420000e+01 1.131449e-17 6.607092e-19 1.065378e-17
9.520000e+01 1.110437e-17 7.582715e-19 1.034610e-17
9.620000e+01 1.055281e-17 1.987008e-18 8.565805e-18
9.720000e+01 1.000125e-17 6.378323e-18 3.622927e-18
9.820000e+01 9.247600e-18 9.247600e-18 0.000000e+00
9.920000e+01 8.489200e-18 8.489200e-18 0.000000e+00
1.002000e+02 9.226000e-18 9.226000e-18 0.000000e+00
1.012000e+02 9.226000e-18 9.226000e-18 0.000000e+00
1.022000e+02 9.226000e-18 9.226000e-18 0.000000e+00
1.032000e+02 9.226000e-18 9.226000e-18 0.000000e+00
1.042000e+02 9.226000e-18 9.226000e-18 0.000000e+00
1.052000e+02 9.226000e-18 9.226000e-18 0.000000e+00
1.062000e+02 9.226000e-18 9.226000e-18 0.000000e+00
1.072000e+02 9.226000e-18 9.226000e-18 0.000000e+00
1.082000e+02 9.226000e-18 9.226000e-18 0.000000e+00
1.092000e+02 9.396154e-18 9.396154e-18 0.000000e+00
1.102000e+02 9.639231e-18 9.639231e-18 0.000000e+00
1.112000e+02 1.120000e-17 1.120000e-17 0.000000e+00
1.122000e+02 1.390000e-17 1.390000e-17 0.000000e+00
1.132000e+02 1.202308e-17 1.202308e-17 0.000000e+00
1.142000e+02 8.885714e-18 8.885714e-18 0.000000e+00
1.152000e+02 5.460377e-18 5.460377e-18 0.000000e+00
1.162000e+02 5.500000e-18 5.500000e-18 0.000000e+00
1.172000e+02 8.200000e-18 8.200000e-18 0.000000e+00
1.182000e+02 8.442105e-18 8.442105e-18 0.000000e+00
1.192000e+02 1.048596e-17 1.048596e-17 0.000000e+00
1.202000e+02 1.858000e-17 1.858000e-17 0.000000e+00
1.212000e+02 2.545085e-17 2.545085e-17 0.000000e+00
1.222000e+02 2.700833e-17 2.700833e-17 0.000000e+00
1.232000e+02 2.101351e-17 2.101351e-17 0.000000e+00
1.242000e+02 1.032698e-17 1.032698e-17 0.000000e+00
1.252000e+02 6.358730e-18 6.358730e-18 0.000000e+00
1.262000e+02 5.171429e-18 5.171429e-18 0.000000e+00
1.272000e+02 4.889831e-18 4.889831e-18 0.000000e+00
1.282000e+02 5.549462e-18 5.549462e-18 0.000000e+00
1.292000e+02 6.334328e-18 6.334328e-18 0.000000e+00
1.302000e+02 1.122708e-17 1.122708e-17 0.000000e+00
1.312000e+02 1.220000e-17 1.220000e-17 0.000000e+00
1.322000e+02 1.325714e-17 1.325714e-17 0.000000e+00
1.332000e+02 1.467209e-17 1.467209e-17 0.000000e+00
1.342000e+02 1.571111e-17 1.571111e-17 0.000000e+00
1.352000e+02 1.403288e-17 1.403288e-17 0.000000e+00
1.362000e+02 1.158674e-17 1.158674e-17 0.000000e+00
1.372000e+02 7.553591e-18 7.553591e-18 0.000000e+00
1.382000e+02 5.414118e-18 5.414118e-18 0.000000e+00
1.392000e+02 4.590588e-18 4.590588e-18 0.000000e+00
1.402000e+02 4.334572e-18 4.334572e-18 0.000000e+00
1.412000e+02 4.148699e-18 4.148699e-18 0.000000e+00
1.422000e+02 3.961538e-18 3.961538e-18 0.000000e+00
1.432000e+02 3.769231e-18 3.769231e-18 0.000000e+00
1.442000e+02 3.576923e-18 3.576923e-18 0.000000e+00
1.452000e+02 3.384615e-18 3.384615e-18 0.000000e+00
1.462000e+02 3.192308e-18 3.192308e-18 0.000000e+00
1.472000e+02 3.000000e-18 3.000000e-18 0.000000e+00
1.482000e+02 2.807692e-18 2.807692e-18 0.000000e+00
1.492000e+02 2.615385e-18 2.615385e-18 0.000000e+00
1.502000e+02 2.423077e-18 2.423077e-18 0.000000e+00
1.512000e+02 2.230769e-18 2.230769e-18 0.000000e+00
1.522000e+02 2.038462e-18 2.038462e-18 0.000000e+00
1.532000e+02 1.846154e-18 1.846154e-18 0.000000e+00
1.542000e+02 1.653846e-18 1.653846e-18 0.000000e+00
1.552000e+02 1.494118e-18 1.494118e-18 0.000000e+00
1.562000e+02 1.464706e-18 1.464706e-18 0.000000e+00
1.572000e+02 1.435294e-18 1.435294e-18 0.000000e+00
1.582000e+02 1.405882e-18 1.405882e-18 0.000000e+00
1.592000e+02 1.376471e-18 1.376471e-18 0.000000e+00
1.602000e+02 1.347059e-18 1.347059e-18 0.000000e+00
1.612000e+02 1.317647e-18 1.317647e-18 0.000000e+00
1.622000e+02 1.288235e-18 1.288235e-18 0.000000e+00
