# OCS cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 4.134774e-17 6.050528e-18 3.529721e-17
9.220000e+01 6.781518e-17 1.088262e-17 5.693256e-17
9.320000e+01 1.627755e-16 3.025258e-17 1.325229e-16
9.420000e+01 8.338982e-17 1.757889e-17 6.581093e-17
9.520000e+01 6.044265e-17 1.430199e-17 4.614065e-17
9.620000e+01 5.924502e-17 1.529616e-17 4.394886e-17
9.720000e+01 5.825599e-17 1.626298e-17 4.199301e-17
9.820000e+01 5.655926e-17 1.700835e-17 3.955091e-17
9.920000e+01 5.681499e-17 1.823175e-17 3.858323e-17
1.002000e+02 6.751602e-17 2.280984e-17 4.470618e-17
1.012000e+02 1.470855e-16 5.215253e-17 9.493300e-17
1.022000e+02 7.239070e-17 2.688958e-17 4.550112e-17
1.032000e+02 4.137661e-17 1.608044e-17 2.529617e-17
1.042000e+02 4.058901e-17 1.707611e-17 2.351289e-17
1.052000e+02 4.061044e-17 1.844185e-17 2.216859e-17
1.062000e+02 3.923273e-17 1.912516e-17 2.010758e-17
1.072000e+02 3.777213e-17 1.964905e-17 1.812308e-17
1.082000e+02 3.443754e-17 1.940655e-17 1.503098e-17
1.092000e+02 3.237749e-17 2.002909e-17 1.234840e-17
1.102000e+02 2.955900e-17 1.991362e-17 9.645379e-18
1.112000e+02 2.839701e-17 2.069787e-17 7.699130e-18
1.122000e+02 2.768909e-17 2.170628e-17 5.982810e-18
1.132000e+02 2.596027e-17 2.146127e-17 4.498993e-18
1.142000e+02 2.597268e-17 2.229451e-17 3.678171e-18
1.152000e+02 2.720768e-17 2.720768e-17 0.000000e+00
1.162000e+02 2.806080e-17 2.806080e-17 0.000000e+00
1.172000e+02 2.801040e-17 2.801040e-17 0.000000e+00
1.182000e+02 2.132607e-17 2.132607e-17 0.000000e+00
1.192000e+02 2.424673e-17 2.424673e-17 0.000000e+00
1.202000e+02 3.506428e-17 3.506428e-17 0.000000e+00
1.212000e+02 1.968798e-17 1.968798e-17 0.000000e+00
1.222000e+02 1.377253e-17 1.377253e-17 0.000000e+00
1.232000e+02 2.459960e-17 2.459960e-17 0.000000e+00
1.242000e+02 6.170250e-18 6.170250e-18 0.000000e+00
1.252000e+02 1.158848e-17 1.158848e-17 0.000000e+00
1.262000e+02 3.699630e-17 3.699630e-17 0.000000e+00
1.272000e+02 1.755778e-17 1.755778e-17 0.000000e+00
1.282000e+02 9.332530e-17 9.332530e-17 0.000000e+00
1.292000e+02 3.285735e-17 3.285735e-17 0.000000e+00
1.302000e+02 1.618640e-17 1.618640e-17 0.000000e+00
1.312000e+02 1.089395e-17 1.089395e-17 0.000000e+00
