# OH+ cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 2.800000e-18 2.800000e-18 0.000000e+00
9.220000e+01 2.462338e-18 2.462338e-18 0.000000e+00
9.320000e+01 2.124675e-18 2.124675e-18 0.000000e+00
9.420000e+01 1.787013e-18 1.787013e-18 0.000000e+00
9.520000e+01 1.476000e-18 1.476000e-18 0.000000e+00
9.620000e+01 1.316000e-18 1.316000e-18 0.000000e+00
9.720000e+01 1.156000e-18 1.156000e-18 0.000000e+00
9.820000e+01 9.960000e-19 9.960000e-19 0.000000e+00
9.920000e+01 8.360000e-19 8.360000e-19 0.000000e+00
1.002000e+02 6.880000e-19 6.880000e-19 0.000000e+00
1.012000e+02 6.080000e-19 6.080000e-19 0.000000e+00
1.022000e+02 5.280000e-19 5.280000e-19 0.000000e+00
1.032000e+02 4.480000e-19 4.480000e-19 0.000000e+00
1.042000e+02 3.680000e-19 3.680000e-19 0.000000e+00
1.052000e+02 2.970000e-19 2.970000e-19 0.000000e+00
1.062000e+02 2.770000e-19 2.770000e-19 0.000000e+00
1.072000e+02 2.570000e-19 2.570000e-19 0.000000e+00
1.082000e+02 2.370000e-19 2.370000e-19 0.000000e+00
1.092000e+02 2.170000e-19 2.170000e-19 0.000000e+00
1.102000e+02 1.700000e-19 1.700000e-19 0.000000e+00
1.112000e+02 4.800000e-27 4.800000e-27 0.000000e+00
1.122000e+02 3.680000e-26 3.680000e-26 0.000000e+00
1.132000e+02 6.880000e-26 6.880000e-26 0.000000e+00
1.142000e+02 1.008000e-25 1.008000e-25 0.000000e+00
1.152000e+02 1.328000e-25 1.328000e-25 0.000000e+00
1.162000e+02 1.648000e-25 1.648000e-25 0.000000e+00
1.172000e+02 1.968000e-25 1.968000e-25 0.000000e+00
1.182000e+02 2.288000e-25 2.288000e-25 0.000000e+00
1.192000e+02 2.608000e-25 2.608000e-25 0.000000e+00
1.202000e+02 2.928000e-25 2.928000e-25 0.000000e+00
1.212000e+02 3.248000e-25 3.248000e-25 0.000000e+00
1.222000e+02 3.568000e-25 3.568000e-25 0.000000e+00
1.232000e+02 3.888000e-25 3.888000e-25 0.000000e+00
1.242000e+02 4.208000e-25 4.208000e-25 0.000000e+00
1.252000e+02 4.528000e-25 4.528000e-25 0.000000e+00
1.262000e+02 4.848000e-25 4.848000e-25 0.000000e+00
