# OH cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 0.000000e+00 0.000000e+00 0.000000e+00
9.220000e+01 1.786885e-20 1.786885e-20 0.000000e+00
9.320000e+01 3.573770e-20 3.573770e-20 0.000000e+00
9.420000e+01 5.360656e-20 5.360656e-20 0.000000e+00
9.520000e+01 7.147541e-20 7.147541e-20 0.000000e+00
9.620000e+01 8.934426e-20 8.934426e-20 0.000000e+00
9.720000e+01 1.072131e-19 1.072131e-19 0.000000e+00
9.820000e+01 2.672196e-19 2.672196e-19 0.000000e+00
9.920000e+01 2.000557e-18 2.000557e-18 0.000000e+00
1.002000e+02 1.111606e-17 1.111606e-17 0.000000e+00
1.012000e+02 1.989412e-18 1.989412e-18 0.000000e+00
1.022000e+02 3.462887e-18 3.462887e-18 0.000000e+00
1.032000e+02 3.279282e-18 3.279282e-18 0.000000e+00
1.042000e+02 5.948928e-18 5.948928e-18 0.000000e+00
1.052000e+02 5.478891e-18 5.478891e-18 0.000000e+00
1.062000e+02 6.652635e-18 6.652635e-18 0.000000e+00
1.072000e+02 7.642106e-18 7.642106e-18 0.000000e+00
1.082000e+02 8.122810e-18 8.122810e-18 0.000000e+00
1.092000e+02 8.570679e-18 8.570679e-18 0.000000e+00
1.102000e+02 7.683084e-18 7.683084e-18 0.000000e+00
1.112000e+02 7.562752e-18 7.562752e-18 0.000000e+00
1.122000e+02 7.178571e-18 7.178571e-18 0.000000e+00
1.132000e+02 6.335714e-18 6.335714e-18 0.000000e+00
1.142000e+02 5.506190e-18 5.506190e-18 0.000000e+00
1.152000e+02 4.696667e-18 4.696667e-18 0.000000e+00
1.162000e+02 3.975909e-18 3.975909e-18 0.000000e+00
1.172000e+02 3.465566e-18 3.465566e-18 0.000000e+00
1.182000e+02 3.138974e-18 3.138974e-18 0.000000e+00
1.192000e+02 2.800562e-18 2.800562e-18 0.000000e+00
1.202000e+02 2.561870e-18 2.561870e-18 0.000000e+00
1.212000e+02 2.862425e-18 2.862425e-18 0.000000e+00
1.222000e+02 4.872931e-18 4.872931e-18 0.000000e+00
1.232000e+02 2.128667e-18 2.128667e-18 0.000000e+00
1.242000e+02 2.034964e-18 2.034964e-18 0.000000e+00
1.252000e+02 2.010960e-18 2.010960e-18 0.000000e+00
1.262000e+02 1.936154e-18 1.936154e-18 0.000000e+00
1.272000e+02 1.842969e-18 1.842969e-18 0.000000e+00
1.282000e+02 1.740000e-18 1.740000e-18 0.000000e+00
1.292000e+02 1.633382e-18 1.633382e-18 0.000000e+00
1.302000e+02 1.501029e-18 1.501029e-18 0.000000e+00
1.312000e+02 1.347046e-18 1.347046e-18 0.000000e+00
1.322000e+02 1.183345e-18 1.183345e-18 0.000000e+00
1.332000e+02 1.019644e-18 1.019644e-18 0.000000e+00
1.342000e+02 9.249147e-19 9.249147e-19 0.000000e+00
1.352000e+02 8.395904e-19 8.395904e-19 0.000000e+00
1.362000e+02 7.542662e-19 7.542662e-19 0.000000e+00
1.372000e+02 7.657312e-19 7.657312e-19 0.000000e+00
1.382000e+02 7.822903e-19 7.822903e-19 0.000000e+00
1.392000e+02 7.988495e-19 7.988495e-19 0.000000e+00
1.402000e+02 8.154086e-19 8.154086e-19 0.000000e+00
1.412000e+02 8.645455e-19 8.645455e-19 0.000000e+00
1.422000e+02 9.896970e-19 9.896970e-19 0.000000e+00
1.432000e+02 1.114848e-18 1.114848e-18 0.000000e+00
1.442000e+02 1.240000e-18 1.240000e-18 0.000000e+00
1.452000e+02 1.431176e-18 1.431176e-18 0.000000e+00
1.462000e+02 1.622353e-18 1.622353e-18 0.000000e+00
1.472000e+02 1.813529e-18 1.813529e-18 0.000000e+00
1.482000e+02 2.000000e-18 2.000000e-18 0.000000e+00
1.492000e+02 2.183333e-18 2.183333e-18 0.000000e+00
1.502000e+02 2.366667e-18 2.366667e-18 0.000000e+00
1.512000e+02 2.550000e-18 2.550000e-18 0.000000e+00
1.522000e+02 2.660526e-18 2.660526e-18 0.000000e+00
1.532000e+02 2.771053e-18 2.771053e-18 0.000000e+00
1.542000e+02 2.881579e-18 2.881579e-18 0.000000e+00
1.552000e+02 2.974211e-18 2.974211e-18 0.000000e+00
1.562000e+02 2.995263e-18 2.995263e-18 0.000000e+00
1.572000e+02 2.994286e-18 2.994286e-18 0.000000e+00
1.582000e+02 2.941905e-18 2.941905e-18 0.000000e+00
1.592000e+02 2.869756e-18 2.869756e-18 0.000000e+00
1.602000e+02 2.718537e-18 2.718537e-18 0.000000e+00
1.612000e+02 2.567317e-18 2.567317e-18 0.000000e+00
1.622000e+02 2.416098e-18 2.416098e-18 0.000000e+00
1.632000e+02 2.260455e-18 2.260455e-18 0.000000e+00
1.642000e+02 2.065000e-18 2.065000e-18 0.000000e+00
1.652000e+02 1.869545e-18 1.869545e-18 0.000000e+00
1.662000e+02 1.674091e-18 1.674091e-18 0.000000e+00
1.672000e+02 1.478636e-18 1.478636e-18 0.000000e+00
1.682000e+02 1.312766e-18 1.312766e-18 0.000000e+00
1.692000e+02 1.159574e-18 1.159574e-18 0.000000e+00
1.702000e+02 1.006383e-18 1.006383e-18 0.000000e+00
1.712000e+02 8.531915e-19 8.531915e-19 0.000000e+00
1.722000e+02 7.000000e-19 7.000000e-19 0.000000e+00
1.732000e+02 6.142857e-19 6.142857e-19 0.000000e+00
1.742000e+02 5.285714e-19 5.285714e-19 0.000000e+00
1.752000e+02 4.428571e-19 4.428571e-19 0.000000e+00
1.762000e+02 3.571429e-19 3.571429e-19 0.000000e+00
1.772000e+02 2.780147e-19 2.780147e-19 0.000000e+00
1.782000e+02 2.581618e-19 2.581618e-19 0.000000e+00
1.792000e+02 2.383088e-19 2.383088e-19 0.000000e+00
1.802000e+02 2.184559e-19 2.184559e-19 0.000000e+00
1.812000e+02 1.986029e-19 1.986029e-19 0.000000e+00
1.822000e+02 1.787500e-19 1.787500e-19 0.000000e+00
1.832000e+02 1.588971e-19 1.588971e-19 0.000000e+00
1.842000e+02 1.390441e-19 1.390441e-19 0.000000e+00
1.852000e+02 1.191912e-19 1.191912e-19 0.000000e+00
1.862000e+02 9.933824e-20 9.933824e-20 0.000000e+00
1.872000e+02 7.948529e-20 7.948529e-20 0.000000e+00
1.882000e+02 5.963235e-20 5.963235e-20 0.000000e+00
1.892000e+02 3.977941e-20 3.977941e-20 0.000000e+00
1.902000e+02 1.992647e-20 1.992647e-20 0.000000e+00
1.912000e+02 8.837209e-21 8.837209e-21 0.000000e+00
1.922000e+02 6.511628e-21 6.511628e-21 0.000000e+00
1.932000e+02 4.186047e-21 4.186047e-21 0.000000e+00
1.942000e+02 1.860465e-21 1.860465e-21 0.000000e+00
1.952000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.962000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.972000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.982000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.992000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.002000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.012000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.022000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.032000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.042000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.052000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.062000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.072000e+02 0.000000e+00 0.000000e+00 0.000000e+00
