# S2 cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 4.323024e-18 0.000000e+00 4.323024e-18
9.220000e+01 3.896331e-18 0.000000e+00 3.896331e-18
9.320000e+01 3.722078e-18 0.000000e+00 3.722078e-18
9.420000e+01 3.811121e-18 0.000000e+00 3.811121e-18
9.520000e+01 3.814049e-18 0.000000e+00 3.814049e-18
9.620000e+01 3.482940e-18 0.000000e+00 3.482940e-18
9.720000e+01 2.914289e-18 0.000000e+00 2.914289e-18
9.820000e+01 2.927971e-18 0.000000e+00 2.927971e-18
9.920000e+01 3.668041e-18 0.000000e+00 3.668041e-18
1.002000e+02 2.797060e-18 0.000000e+00 2.797060e-18
1.012000e+02 2.993624e-18 0.000000e+00 2.993624e-18
1.022000e+02 2.876824e-18 0.000000e+00 2.876824e-18
1.032000e+02 3.437128e-18 0.000000e+00 3.437128e-18
1.042000e+02 4.780185e-18 0.000000e+00 4.780185e-18
1.052000e+02 4.949584e-18 0.000000e+00 4.949584e-18
1.062000e+02 4.165155e-18 0.000000e+00 4.165155e-18
1.072000e+02 3.304002e-18 0.000000e+00 3.304002e-18
1.082000e+02 2.567062e-18 0.000000e+00 2.567062e-18
1.092000e+02 1.792116e-18 0.000000e+00 1.792116e-18
1.102000e+02 1.153603e-18 0.000000e+00 1.153603e-18
1.112000e+02 1.046114e-18 0.000000e+00 1.046114e-18
1.122000e+02 1.051284e-18 0.000000e+00 1.051284e-18
1.132000e+02 1.543918e-18 0.000000e+00 1.543918e-18
1.142000e+02 2.025713e-18 0.000000e+00 2.025713e-18
1.152000e+02 2.729469e-18 0.000000e+00 2.729469e-18
1.162000e+02 3.309630e-18 0.000000e+00 3.309630e-18
1.172000e+02 2.992835e-18 0.000000e+00 2.992835e-18
1.182000e+02 2.797432e-18 0.000000e+00 2.797432e-18
1.192000e+02 2.364700e-18 0.000000e+00 2.364700e-18
1.202000e+02 2.133343e-18 0.000000e+00 2.133343e-18
1.212000e+02 2.099805e-18 0.000000e+00 2.099805e-18
1.222000e+02 1.798932e-18 0.000000e+00 1.798932e-18
1.232000e+02 1.335608e-18 0.000000e+00 1.335608e-18
1.242000e+02 9.957336e-19 0.000000e+00 9.957336e-19
1.252000e+02 7.385400e-19 0.000000e+00 7.385400e-19
1.262000e+02 5.489451e-19 0.000000e+00 5.489451e-19
1.272000e+02 4.229570e-19 0.000000e+00 4.229570e-19
1.282000e+02 3.462951e-19 0.000000e+00 3.462951e-19
1.292000e+02 2.641852e-19 0.000000e+00 2.641852e-19
1.302000e+02 2.310147e-19 0.000000e+00 2.310147e-19
1.312000e+02 2.304715e-19 0.000000e+00 2.304715e-19
1.322000e+02 1.157352e-19 0.000000e+00 1.157352e-19
1.332000e+02 9.591833e-20 0.000000e+00 9.591833e-20
1.342000e+02 9.022135e-20 0.000000e+00 9.022135e-20
1.352000e+02 8.452437e-20 0.000000e+00 8.452437e-20
1.362000e+02 7.882739e-20 0.000000e+00 7.882739e-20
1.372000e+02 7.313041e-20 0.000000e+00 7.313041e-20
1.382000e+02 6.743343e-20 0.000000e+00 6.743343e-20
1.392000e+02 6.173645e-20 0.000000e+00 6.173645e-20
1.402000e+02 5.603947e-20 0.000000e+00 5.603947e-20
1.412000e+02 5.034249e-20 0.000000e+00 5.034249e-20
1.422000e+02 4.464551e-20 0.000000e+00 4.464551e-20
1.432000e+02 3.894854e-20 0.000000e+00 3.894854e-20
1.442000e+02 3.325156e-20 0.000000e+00 3.325156e-20
1.452000e+02 2.755458e-20 0.000000e+00 2.755458e-20
1.462000e+02 2.185760e-20 0.000000e+00 2.185760e-20
1.472000e+02 1.616062e-20 0.000000e+00 1.616062e-20
1.482000e+02 1.046364e-20 0.000000e+00 1.046364e-20
1.492000e+02 4.766662e-21 0.000000e+00 4.766662e-21
1.502000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.512000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.522000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.532000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.542000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.552000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.562000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.572000e+02 0.000000e+00 0.000000e+00 0.000000e+00
