# SH+ cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 1.589633e-17 1.589633e-17 0.000000e+00
9.220000e+01 2.079586e-17 2.079586e-17 0.000000e+00
9.320000e+01 2.733095e-17 2.733095e-17 0.000000e+00
9.420000e+01 3.368520e-17 3.368520e-17 0.000000e+00
9.520000e+01 3.893940e-17 3.893940e-17 0.000000e+00
9.620000e+01 4.249099e-17 4.249099e-17 0.000000e+00
9.720000e+01 4.489102e-17 4.489102e-17 0.000000e+00
9.820000e+01 4.583749e-17 4.583749e-17 0.000000e+00
9.920000e+01 4.609768e-17 4.609768e-17 0.000000e+00
1.002000e+02 4.349473e-17 4.349473e-17 0.000000e+00
1.012000e+02 4.006474e-17 4.006474e-17 0.000000e+00
1.022000e+02 3.535944e-17 3.535944e-17 0.000000e+00
1.032000e+02 3.154658e-17 3.154658e-17 0.000000e+00
1.042000e+02 2.881141e-17 2.881141e-17 0.000000e+00
1.052000e+02 2.589081e-17 2.589081e-17 0.000000e+00
1.062000e+02 2.313788e-17 2.313788e-17 0.000000e+00
1.072000e+02 2.210322e-17 2.210322e-17 0.000000e+00
1.082000e+02 2.058092e-17 2.058092e-17 0.000000e+00
1.092000e+02 1.676774e-17 1.676774e-17 0.000000e+00
1.102000e+02 1.325640e-17 1.325640e-17 0.000000e+00
1.112000e+02 9.240597e-18 9.240597e-18 0.000000e+00
1.122000e+02 5.444728e-18 5.444728e-18 0.000000e+00
1.132000e+02 2.451642e-18 2.451642e-18 0.000000e+00
1.142000e+02 1.035252e-18 1.035252e-18 0.000000e+00
1.152000e+02 4.590428e-19 4.590428e-19 0.000000e+00
1.162000e+02 2.102412e-19 2.102412e-19 0.000000e+00
1.172000e+02 1.164295e-19 1.164295e-19 0.000000e+00
1.182000e+02 9.154371e-20 9.154371e-20 0.000000e+00
1.192000e+02 8.067645e-20 8.067645e-20 0.000000e+00
1.202000e+02 7.733151e-20 7.733151e-20 0.000000e+00
1.212000e+02 7.462100e-20 7.462100e-20 0.000000e+00
1.222000e+02 7.364397e-20 7.364397e-20 0.000000e+00
1.232000e+02 7.405381e-20 7.405381e-20 0.000000e+00
1.242000e+02 7.211456e-20 7.211456e-20 0.000000e+00
1.252000e+02 6.979806e-20 6.979806e-20 0.000000e+00
1.262000e+02 6.646242e-20 6.646242e-20 0.000000e+00
1.272000e+02 6.232754e-20 6.232754e-20 0.000000e+00
1.282000e+02 5.825155e-20 5.825155e-20 0.000000e+00
1.292000e+02 5.361885e-20 5.361885e-20 0.000000e+00
1.302000e+02 4.897073e-20 4.897073e-20 0.000000e+00
1.312000e+02 4.408885e-20 4.408885e-20 0.000000e+00
1.322000e+02 3.912230e-20 3.912230e-20 0.000000e+00
1.332000e+02 3.503903e-20 3.503903e-20 0.000000e+00
1.342000e+02 3.243919e-20 3.243919e-20 0.000000e+00
1.352000e+02 3.093978e-20 3.093978e-20 0.000000e+00
1.362000e+02 3.025432e-20 3.025432e-20 0.000000e+00
1.372000e+02 2.949115e-20 2.949115e-20 0.000000e+00
1.382000e+02 3.019140e-20 3.019140e-20 0.000000e+00
1.392000e+02 3.160205e-20 3.160205e-20 0.000000e+00
1.402000e+02 3.421529e-20 3.421529e-20 0.000000e+00
1.412000e+02 3.693362e-20 3.693362e-20 0.000000e+00
1.422000e+02 3.918703e-20 3.918703e-20 0.000000e+00
1.432000e+02 4.126076e-20 4.126076e-20 0.000000e+00
