# SO cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 0.000000e+00 0.000000e+00 0.000000e+00
9.220000e+01 0.000000e+00 0.000000e+00 0.000000e+00
9.320000e+01 0.000000e+00 0.000000e+00 0.000000e+00
9.420000e+01 0.000000e+00 0.000000e+00 0.000000e+00
9.520000e+01 0.000000e+00 0.000000e+00 0.000000e+00
9.620000e+01 0.000000e+00 0.000000e+00 0.000000e+00
9.720000e+01 0.000000e+00 0.000000e+00 0.000000e+00
9.820000e+01 0.000000e+00 0.000000e+00 0.000000e+00
9.920000e+01 0.000000e+00 0.000000e+00 0.000000e+00
1.002000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.012000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.022000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.032000e+02 4.162548e-17 0.000000e+00 4.162548e-17
1.042000e+02 4.390029e-17 0.000000e+00 4.390029e-17
1.052000e+02 4.516717e-17 0.000000e+00 4.516717e-17
1.062000e+02 4.069910e-17 0.000000e+00 4.069910e-17
1.072000e+02 2.074186e-17 0.000000e+00 2.074186e-17
1.082000e+02 2.876264e-17 0.000000e+00 2.876264e-17
1.092000e+02 2.773848e-17 0.000000e+00 2.773848e-17
1.102000e+02 2.389904e-17 0.000000e+00 2.389904e-17
1.112000e+02 1.791939e-17 0.000000e+00 1.791939e-17
1.122000e+02 1.422015e-17 0.000000e+00 1.422015e-17
1.132000e+02 1.061973e-17 0.000000e+00 1.061973e-17
1.142000e+02 9.127598e-18 0.000000e+00 9.127598e-18
1.152000e+02 7.288203e-18 0.000000e+00 7.288203e-18
1.162000e+02 9.791255e-17 8.951080e-17 8.401745e-18
1.172000e+02 1.044365e-16 9.883433e-17 5.602156e-18
1.182000e+02 9.904869e-17 9.440846e-17 4.640232e-18
1.192000e+02 1.036952e-16 1.019845e-16 1.710709e-18
1.202000e+02 1.243159e-16 1.223925e-16 1.923397e-18
1.212000e+02 1.185676e-16 1.185676e-16 0.000000e+00
1.222000e+02 1.242501e-16 1.242501e-16 0.000000e+00
1.232000e+02 1.372664e-16 1.372664e-16 0.000000e+00
1.242000e+02 1.520239e-16 1.520239e-16 0.000000e+00
1.252000e+02 1.509397e-16 1.509397e-16 0.000000e+00
1.262000e+02 1.683639e-16 1.683639e-16 0.000000e+00
1.272000e+02 1.566457e-16 1.566457e-16 0.000000e+00
1.282000e+02 1.057610e-16 1.057610e-16 0.000000e+00
1.292000e+02 6.723363e-17 6.723363e-17 0.000000e+00
1.302000e+02 5.330643e-17 5.330643e-17 0.000000e+00
1.312000e+02 4.571767e-17 4.571767e-17 0.000000e+00
1.322000e+02 4.791958e-17 4.791958e-17 0.000000e+00
1.332000e+02 1.963528e-17 1.963528e-17 0.000000e+00
1.342000e+02 1.436940e-17 1.436940e-17 0.000000e+00
1.352000e+02 1.190594e-17 1.190594e-17 0.000000e+00
1.362000e+02 9.442469e-18 9.442469e-18 0.000000e+00
1.372000e+02 6.979002e-18 6.979002e-18 0.000000e+00
1.382000e+02 4.515535e-18 4.515535e-18 0.000000e+00
1.392000e+02 2.052068e-18 2.052068e-18 0.000000e+00
1.402000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.412000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.422000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.432000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.442000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.452000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.462000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.472000e+02 0.000000e+00 0.000000e+00 0.000000e+00
