# SO2 cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 4.876541e-17 1.252710e-17 3.623831e-17
9.220000e+01 4.943863e-17 1.732755e-17 3.211108e-17
9.320000e+01 5.047440e-17 2.132519e-17 2.914922e-17
9.420000e+01 4.960013e-17 2.279597e-17 2.680416e-17
9.520000e+01 4.963398e-17 2.522196e-17 2.441202e-17
9.620000e+01 4.511992e-17 2.429125e-17 2.082866e-17
9.720000e+01 4.347724e-17 2.435253e-17 1.912472e-17
9.820000e+01 4.199537e-17 2.427893e-17 1.771644e-17
9.920000e+01 4.008787e-17 2.601526e-17 1.407261e-17
1.002000e+02 3.985621e-17 3.093950e-17 8.916713e-18
1.012000e+02 3.640713e-17 3.622419e-17 1.829370e-19
1.022000e+02 3.200785e-17 3.191328e-17 9.456761e-20
1.032000e+02 2.760857e-17 2.760237e-17 6.198228e-21
1.042000e+02 2.501214e-17 2.501214e-17 0.000000e+00
1.052000e+02 2.255171e-17 2.255171e-17 0.000000e+00
1.062000e+02 2.051515e-17 2.051515e-17 0.000000e+00
1.072000e+02 2.093468e-17 2.093468e-17 0.000000e+00
1.082000e+02 1.352084e-17 1.352084e-17 0.000000e+00
1.092000e+02 1.444599e-17 1.444599e-17 0.000000e+00
1.102000e+02 1.651308e-17 1.651308e-17 0.000000e+00
1.112000e+02 2.804589e-17 2.804589e-17 0.000000e+00
1.122000e+02 2.765151e-17 2.765151e-17 0.000000e+00
1.132000e+02 2.586408e-17 2.586408e-17 0.000000e+00
1.142000e+02 2.635723e-17 2.635723e-17 0.000000e+00
1.152000e+02 9.051358e-18 9.051358e-18 0.000000e+00
1.162000e+02 8.690681e-18 8.690681e-18 0.000000e+00
1.172000e+02 8.447686e-18 8.447686e-18 0.000000e+00
1.182000e+02 1.080950e-17 1.080950e-17 0.000000e+00
1.192000e+02 1.627832e-17 1.627832e-17 0.000000e+00
1.202000e+02 2.721319e-17 2.721319e-17 0.000000e+00
1.212000e+02 3.934950e-17 3.934950e-17 0.000000e+00
1.222000e+02 3.992969e-17 3.992969e-17 0.000000e+00
1.232000e+02 5.092289e-17 5.092289e-17 0.000000e+00
1.242000e+02 7.310028e-17 7.310028e-17 0.000000e+00
1.252000e+02 1.230487e-16 1.230487e-16 0.000000e+00
1.262000e+02 9.528765e-17 9.528765e-17 0.000000e+00
1.272000e+02 6.292663e-17 6.292663e-17 0.000000e+00
1.282000e+02 3.007879e-17 3.007879e-17 0.000000e+00
1.292000e+02 1.689137e-17 1.689137e-17 0.000000e+00
1.302000e+02 1.118611e-17 1.118611e-17 0.000000e+00
1.312000e+02 1.540429e-17 1.540429e-17 0.000000e+00
1.322000e+02 1.147359e-17 1.147359e-17 0.000000e+00
1.332000e+02 7.297434e-18 7.297434e-18 0.000000e+00
1.342000e+02 3.416451e-18 3.416451e-18 0.000000e+00
1.352000e+02 3.080000e-18 3.080000e-18 0.000000e+00
1.362000e+02 3.108420e-18 3.108420e-18 0.000000e+00
1.372000e+02 3.281095e-18 3.281095e-18 0.000000e+00
1.382000e+02 3.488022e-18 3.488022e-18 0.000000e+00
1.392000e+02 3.793415e-18 3.793415e-18 0.000000e+00
1.402000e+02 3.543978e-18 3.543978e-18 0.000000e+00
1.412000e+02 3.711524e-18 3.711524e-18 0.000000e+00
1.422000e+02 4.182919e-18 4.182919e-18 0.000000e+00
1.432000e+02 4.027566e-18 4.027566e-18 0.000000e+00
1.442000e+02 4.199163e-18 4.199163e-18 0.000000e+00
1.452000e+02 4.046700e-18 4.046700e-18 0.000000e+00
1.462000e+02 4.555059e-18 4.555059e-18 0.000000e+00
1.472000e+02 5.476535e-18 5.476535e-18 0.000000e+00
1.482000e+02 5.784423e-18 5.784423e-18 0.000000e+00
1.492000e+02 4.753770e-18 4.753770e-18 0.000000e+00
1.502000e+02 5.165249e-18 5.165249e-18 0.000000e+00
1.512000e+02 5.811005e-18 5.811005e-18 0.000000e+00
1.522000e+02 4.044978e-18 4.044978e-18 0.000000e+00
1.532000e+02 3.583835e-18 3.583835e-18 0.000000e+00
1.542000e+02 4.763843e-18 4.763843e-18 0.000000e+00
1.552000e+02 3.762955e-18 3.762955e-18 0.000000e+00
1.562000e+02 2.288059e-18 2.288059e-18 0.000000e+00
1.572000e+02 2.761658e-18 2.761658e-18 0.000000e+00
1.582000e+02 2.113952e-18 2.113952e-18 0.000000e+00
1.592000e+02 1.337081e-18 1.337081e-18 0.000000e+00
1.602000e+02 1.189081e-18 1.189081e-18 0.000000e+00
1.612000e+02 8.719888e-19 8.719888e-19 0.000000e+00
1.622000e+02 6.593361e-19 6.593361e-19 0.000000e+00
1.632000e+02 5.024179e-19 5.024179e-19 0.000000e+00
1.642000e+02 3.759706e-19 3.759706e-19 0.000000e+00
1.652000e+02 3.504725e-19 3.504725e-19 0.000000e+00
1.662000e+02 3.102160e-19 3.102160e-19 0.000000e+00
1.672000e+02 3.488000e-19 3.488000e-19 0.000000e+00
1.682000e+02 3.758487e-19 3.758487e-19 0.000000e+00
1.692000e+02 4.798171e-19 4.798171e-19 0.000000e+00
1.702000e+02 5.223950e-19 5.223950e-19 0.000000e+00
1.712000e+02 5.183233e-19 5.183233e-19 0.000000e+00
1.722000e+02 4.557350e-19 4.557350e-19 0.000000e+00
1.732000e+02 4.880250e-19 4.880250e-19 0.000000e+00
1.742000e+02 6.935150e-19 6.935150e-19 0.000000e+00
1.752000e+02 1.060593e-18 1.060593e-18 0.000000e+00
1.762000e+02 1.408725e-18 1.408725e-18 0.000000e+00
1.772000e+02 1.345350e-18 1.345350e-18 0.000000e+00
1.782000e+02 1.258325e-18 1.258325e-18 0.000000e+00
1.792000e+02 1.468050e-18 1.468050e-18 0.000000e+00
1.802000e+02 1.993475e-18 1.993475e-18 0.000000e+00
1.812000e+02 2.942725e-18 2.942725e-18 0.000000e+00
1.822000e+02 3.397375e-18 3.397375e-18 0.000000e+00
1.832000e+02 2.520450e-18 2.520450e-18 0.000000e+00
1.842000e+02 2.549025e-18 2.549025e-18 0.000000e+00
1.852000e+02 3.911950e-18 3.911950e-18 0.000000e+00
1.862000e+02 5.191150e-18 5.191150e-18 0.000000e+00
1.872000e+02 4.996900e-18 4.996900e-18 0.000000e+00
1.882000e+02 3.771175e-18 3.771175e-18 0.000000e+00
1.892000e+02 5.348375e-18 5.348375e-18 0.000000e+00
1.902000e+02 5.251775e-18 5.251775e-18 0.000000e+00
1.912000e+02 4.091325e-18 4.091325e-18 0.000000e+00
1.922000e+02 4.944675e-18 4.944675e-18 0.000000e+00
1.932000e+02 9.118850e-18 9.118850e-18 0.000000e+00
1.942000e+02 4.987750e-18 4.987750e-18 0.000000e+00
1.952000e+02 5.002875e-18 5.002875e-18 0.000000e+00
1.962000e+02 1.001007e-17 1.001007e-17 0.000000e+00
1.972000e+02 3.971375e-18 3.971375e-18 0.000000e+00
1.982000e+02 4.965800e-18 4.965800e-18 0.000000e+00
1.992000e+02 1.095872e-17 1.095872e-17 0.000000e+00
2.002000e+02 2.432925e-18 2.432925e-18 0.000000e+00
2.012000e+02 5.100525e-18 5.099372e-18 0.000000e+00
2.022000e+02 1.037843e-17 1.037440e-17 0.000000e+00
